number_hidden_layers,number_hidden_nodes,dropout,learning_rate,loss_weights_b,test_fraction,epochs_a,epochs_b,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss,n_batch
3,32,0.01,0.001,"[0.5, 0.5]",0.05,10,10,54.390278816223145,0.5991645999999999,0.5968183000000001,1.0226038,1.0178777,0.8108841999999999,0.807348,
3,32,0.01,0.001,"[0.5, 0.5]",0.05,10,50,254.65539813041687,0.547243,0.5399178000000001,1.015338,1.0070076,0.7812905,0.7734627,
3,32,0.01,0.001,"[0.5, 0.5]",0.05,10,100,555.6831595897676,0.5195778,0.5076074,1.0090731,0.9979212,0.7643255,0.75276434,
3,32,0.01,0.001,"[0.5, 0.5]",0.05,50,10,53.03994941711426,0.50233006,0.49213263,1.0178995000000002,1.0060756,0.7601148,0.74910414,
3,32,0.01,0.001,"[0.5, 0.5]",0.05,50,50,,,,,,,,
3,32,0.01,0.001,"[0.5, 0.5]",0.05,50,100,,,,,,,,
3,32,0.01,0.001,"[0.5, 0.5]",0.05,100,10,56.84442925453186,0.48464945,0.4757192,1.0002257,0.9967673,0.74243754,0.73624325,
3,32,0.01,0.001,"[0.5, 0.5]",0.05,100,50,276.120530128479,0.48422945,0.47420272,1.0126389999999998,1.0048561,0.74843425,0.73952943,
3,32,0.01,0.001,"[0.5, 0.5]",0.05,100,100,496.99206590652466,0.48113513,0.4732854,0.9992272,0.9935579,0.7401812,0.7334215999999999,
3,32,0.01,0.001,"[0.5, 0.5]",0.2,10,10,56.78413200378418,0.6024675,0.5965646,1.0217433,1.0230551,0.8121054,0.8098098000000001,
3,32,0.01,0.001,"[0.5, 0.5]",0.2,10,50,,,,,,,,
3,32,0.01,0.001,"[0.5, 0.5]",0.2,10,100,,,,,,,,
3,32,0.01,0.001,"[0.5, 0.5]",0.2,50,10,43.71141529083252,0.5030932,0.49327296,1.0063257,0.9979035,0.7547095,0.74558824,
3,32,0.01,0.001,"[0.5, 0.5]",0.2,50,50,246.16905236244202,0.4947519,0.48873174,1.004489,0.99476165,0.74962044,0.74174666,
3,32,0.01,0.001,"[0.5, 0.5]",0.2,50,100,443.5036025047302,0.48870766,0.48377693,1.0056343,0.9918395,0.747171,0.7378081999999999,
3,32,0.01,0.001,"[0.5, 0.5]",0.2,100,10,48.444480180740356,0.4882517,0.47671106,1.0147961,1.0050538,0.7515239,0.7408824,
3,32,0.01,0.001,"[0.5, 0.5]",0.2,100,50,290.0451791286468,0.47970822,0.47588503,1.0091165000000002,1.0078423,0.74441236,0.74186367,
3,32,0.01,0.001,"[0.5, 0.5]",0.2,100,100,,,,,,,,
3,32,0.01,0.001,"[0.25, 0.75]",0.05,10,10,65.89805674552917,0.6135276999999999,0.6117244000000001,1.0197995,1.0153537,0.91823155,0.91444635,
3,32,0.01,0.001,"[0.25, 0.75]",0.05,10,50,280.5770981311798,0.5827144000000001,0.5774812,1.0123684000000002,1.0041758,0.9049549,0.8975021999999999,
3,32,0.01,0.001,"[0.25, 0.75]",0.05,10,100,532.1865024566649,0.5609732,0.5533918000000001,1.0064517,0.99727476,0.8950821,0.8863040000000001,
3,32,0.01,0.001,"[0.25, 0.75]",0.05,50,10,62.45386552810669,0.51055336,0.5007229000000001,1.0124546,1.0028304,0.88697934,0.8773035,
3,32,0.01,0.001,"[0.25, 0.75]",0.05,50,50,281.4154579639435,0.50678813,0.49862888,1.0055667,0.9984281,0.88087213,0.8734783000000002,
3,32,0.01,0.001,"[0.25, 0.75]",0.05,50,100,,,,,,,,
3,32,0.01,0.001,"[0.25, 0.75]",0.05,100,10,64.74183058738707,0.49325618,0.48362264,1.0082946,1.0050169,0.87953496,0.87466836,
