epoch,elapsed_time,training_loss,training_nn_loss,training_p_loss,validation_loss,validation_nn_loss,validation_p_loss
0,9.658347368240356,0.7420778,0.7420778,0.0,0.5988419,0.5988419,0.0
1,18.85382056236267,0.56443346,0.56443346,0.0,0.51604337,0.51604337,0.0
2,28.298447370529175,0.5180017,0.5180017,0.0,0.4902454,0.4902454,0.0
3,37.587668657302856,0.50163585,0.50163585,0.0,0.4817163,0.4817163,0.0
4,46.713380098342896,0.49259967,0.49259967,0.0,0.47394735,0.47394735,0.0
5,55.910669565200806,0.4867038,0.4867038,0.0,0.4701066,0.4701066,0.0
6,65.18354654312134,0.48158818,0.48158818,0.0,0.4683495,0.4683495,0.0
7,74.29961729049683,0.4780296,0.4780296,0.0,0.46192446,0.46192446,0.0
8,83.43170070648193,0.4744996,0.4744996,0.0,0.46051413,0.46051413,0.0
9,92.88750290870667,0.47155526,0.47155526,0.0,0.45810604,0.45810604,0.0
10,102.32401990890503,0.46934524,0.46934524,0.0,0.4549672,0.4549672,0.0
11,111.40524125099182,0.46644855,0.46644855,0.0,0.45342898,0.45342898,0.0
12,120.52912044525146,0.46436375,0.46436375,0.0,0.45282236,0.45282236,0.0
13,129.6471517086029,0.4614532,0.4614532,0.0,0.45089334,0.45089334,0.0
14,138.76352214813232,0.45967954,0.45967954,0.0,0.4463622,0.4463622,0.0
15,147.9374978542328,0.457043,0.457043,0.0,0.44327474,0.44327474,0.0
16,156.92142963409424,0.4551021,0.4551021,0.0,0.44218898,0.44218898,0.0
17,165.86207842826843,0.4534262,0.4534262,0.0,0.4398099,0.4398099,0.0
18,174.97416996955872,0.45203578,0.45203578,0.0,0.43824798,0.43824798,0.0
19,184.04708552360535,0.45077023,0.45077023,0.0,0.43746075,0.43746075,0.0
20,193.1716432571411,0.44947088,0.44947088,0.0,0.43843102,0.43843102,0.0
21,202.21714758872986,0.4478535,0.4478535,0.0,0.433906,0.433906,0.0
22,211.26270818710327,0.4469412,0.4469412,0.0,0.4365831,0.4365831,0.0
23,220.35288000106812,0.44580123,0.44580123,0.0,0.43489432,0.43489432,0.0
24,229.45520186424255,0.44465822,0.44465822,0.0,0.43299407,0.43299407,0.0
25,238.50138568878174,0.4435049,0.4435049,0.0,0.43054706,0.43054706,0.0
26,247.5708510875702,0.44269514,0.44269514,0.0,0.42885515,0.42885515,0.0
27,256.67857551574707,0.4417373,0.4417373,0.0,0.43075812,0.43075812,0.0
28,265.7770574092865,0.44111365,0.44111365,0.0,0.4297805,0.4297805,0.0
29,274.81881308555603,0.44026786,0.44026786,0.0,0.42699313,0.42699313,0.0
30,283.7434182167053,0.43917412,0.43917412,0.0,0.42785168,0.42785168,0.0
31,292.6379973888397,0.4383626,0.4383626,0.0,0.42576224,0.42576224,0.0
32,301.54211163520813,0.43741226,0.43741226,0.0,0.42570674,0.42570674,0.0
33,310.7701756954193,0.43652278,0.43652278,0.0,0.42654586,0.42654586,0.0
