,Model,Site,Variable,Condition,MAE (%),MBE (%),RMSE (%)
67,Adjusted,DRA,DNI,Missing Cloud Data,72.21271936278411,-22.553747251054254,66.32651314517229
68,PhyGNN,DRA,DNI,Missing Cloud Data,49.47968976672581,8.3089454883084,46.74223063743184
69,Baseline,DRA,GHI,Missing Cloud Data,30.150096312640883,-13.843594293821488,32.60621346424439
70,Adjusted,DRA,GHI,Missing Cloud Data,27.619529007455064,-14.032092991140603,29.588294601520722
71,PhyGNN,DRA,GHI,Missing Cloud Data,18.168025003679336,0.8691363689118718,19.9003140364527
72,Baseline,FPK,DNI,All-Sky,36.06582444971266,12.11167287805238,43.30219794703545
73,Adjusted,FPK,DNI,All-Sky,34.52053880997956,12.017929600628483,42.06779802617966
74,PhyGNN,FPK,DNI,All-Sky,25.174180315456,7.975504565164828,31.921816669864448
75,Baseline,FPK,GHI,All-Sky,17.373835850242532,-0.1645887075377075,22.69239879042405
76,Adjusted,FPK,GHI,All-Sky,16.281330830908296,-0.27695764734858885,21.314494066912715
77,PhyGNN,FPK,GHI,All-Sky,14.054341455517298,-1.2618827774374886,18.613455305528365
78,Baseline,FPK,DNI,Cloudy,91.10669667750992,22.65561532329743,80.02538151015794
79,Adjusted,FPK,DNI,Cloudy,87.63849898156742,15.125805526830154,78.22547589321125
80,PhyGNN,FPK,DNI,Cloudy,55.621667165866796,1.1118533933245855,52.94436544347419
81,Baseline,FPK,GHI,Cloudy,30.939401349033652,-4.576518535342369,35.58197885234772
82,Adjusted,FPK,GHI,Cloudy,29.011764872255746,-6.16823088028668,33.60921780120874
83,PhyGNN,FPK,GHI,Cloudy,24.00485708218722,-8.419805545133983,28.559120884289232
84,Baseline,FPK,DNI,Clear,13.317512064773558,7.753876811148518,23.328555372114007
85,Adjusted,FPK,DNI,Clear,12.56696317925428,10.733449003550255,22.17148154158058
86,PhyGNN,FPK,DNI,Clear,12.59027831363285,10.812241605088076,22.242675498046484
87,Baseline,FPK,GHI,Clear,6.442798769903022,3.3905132561722713,10.851330084011463
88,Adjusted,FPK,GHI,Clear,6.0232367936795335,4.470188807061779,9.860452094913812
89,PhyGNN,FPK,GHI,Clear,6.0362860863312875,4.505920945810862,9.91820093003689
90,Baseline,FPK,DNI,Missing Cloud Data,101.26864720328344,10.158650096956118,84.0689907679875
91,Adjusted,FPK,DNI,Missing Cloud Data,101.36327363532716,-0.8219721003785988,85.5262536600534
92,PhyGNN,FPK,DNI,Missing Cloud Data,63.48284497225004,-13.105133702128864,56.67730757307339
93,Baseline,FPK,GHI,Missing Cloud Data,38.22694579065492,-9.847333919510568,40.482089378472466
94,Adjusted,FPK,GHI,Missing Cloud Data,37.883425209613414,-13.115905316069611,40.935173810681604
95,PhyGNN,FPK,GHI,Missing Cloud Data,26.512745477767275,-8.561128927604225,29.387912562435734
96,Baseline,GWN,DNI,All-Sky,29.75613572964768,12.841123176617605,38.195318447496874
97,Adjusted,GWN,DNI,All-Sky,28.760189976620556,11.692000223873595,37.277038746347706
98,PhyGNN,GWN,DNI,All-Sky,27.437446945672576,11.916610643956195,36.53062564823536
99,Baseline,GWN,GHI,All-Sky,17.31293594632346,3.5531149853467396,23.506436586523765
100,Adjusted,GWN,GHI,All-Sky,16.586933771958844,2.966262656590183,22.86147263551477
101,PhyGNN,GWN,GHI,All-Sky,15.8976494052239,2.4931805502536926,22.079649192791077
102,Baseline,GWN,DNI,Cloudy,75.30541438223962,11.644621814302178,68.98962339394767
103,Adjusted,GWN,DNI,Cloudy,69.91665110056886,-2.38730961261632,64.55809768161932
104,PhyGNN,GWN,DNI,Cloudy,62.99615749907477,-1.416670106532097,61.28191820194273
105,Baseline,GWN,GHI,Cloudy,30.431257495286015,-1.5410075396070562,34.76213250626898
106,Adjusted,GWN,GHI,Cloudy,28.594899630351588,-4.4700868738451565,33.32509276433858
107,PhyGNN,GWN,GHI,Cloudy,26.67319088577929,-5.823856945588339,31.467717211712202
108,Baseline,GWN,DNI,Clear,18.869338474522795,13.127100652712446,30.58245124152664
109,Adjusted,GWN,DNI,Clear,18.923326227092048,15.05711590113864,30.80372570044598
110,PhyGNN,GWN,DNI,Clear,18.938509445450922,15.103416858459557,30.829197448431923
111,Baseline,GWN,GHI,Clear,9.921193852894909,6.4234852347908316,16.718536784387666
112,Adjusted,GWN,GHI,Clear,9.820840536581944,7.156400673897246,16.66996649486535
113,PhyGNN,GWN,GHI,Clear,9.825986712399775,7.179557227420973,16.68009470773883
114,Baseline,GWN,DNI,Missing Cloud Data,88.41024561739,18.64853751268556,74.03917515467113
115,Adjusted,GWN,DNI,Missing Cloud Data,84.5106148433552,-11.383289163540965,71.8240308982205
116,PhyGNN,GWN,DNI,Missing Cloud Data,66.51231026685811,-7.648904571570565,61.13859399022556
117,Baseline,GWN,GHI,Missing Cloud Data,36.84955844966472,-1.071562108338218,36.17400589084674
118,Adjusted,GWN,GHI,Missing Cloud Data,36.50757148979065,-9.893521823542885,37.92955618438749
119,PhyGNN,GWN,GHI,Missing Cloud Data,28.89058701123127,-2.9936617282691356,29.458863515164488
120,Baseline,PSU,DNI,All-Sky,53.473331059594905,10.331262350623442,56.846187058915866
121,Adjusted,PSU,DNI,All-Sky,51.03154951636706,8.425274051538349,54.94036835436445
122,PhyGNN,PSU,DNI,All-Sky,42.70186590784164,10.217050556273863,48.325174438640815
123,Baseline,PSU,GHI,All-Sky,28.303456025106403,1.3800146068174057,34.47905045979936
124,Adjusted,PSU,GHI,All-Sky,26.835612662097475,1.0342717633564977,32.8925709119486
125,PhyGNN,PSU,GHI,All-Sky,23.027327096769366,-0.5833115336773089,29.217741740305932
126,Baseline,PSU,DNI,Cloudy,101.10145463050758,0.664966355930157,86.09024169685
127,Adjusted,PSU,DNI,Cloudy,94.59463406073993,-10.638731383404854,81.91250597883887
128,PhyGNN,PSU,DNI,Cloudy,72.82118447214117,-6.387582591155413,67.33359635836491
129,Baseline,PSU,GHI,Cloudy,39.69084309178327,-3.227082584877682,43.71371701112404
130,Adjusted,PSU,GHI,Cloudy,37.43099394948061,-4.941183879617142,41.37851838068732
131,PhyGNN,PSU,GHI,Cloudy,30.901918596251132,-7.81223217273628,35.47973867946237
132,Baseline,PSU,DNI,Clear,23.669012106332392,16.380154209517265,35.9412397526064
133,Adjusted,PSU,DNI,Clear,23.77101584416998,20.35498397730961,36.132587677455525
134,PhyGNN,PSU,DNI,Clear,23.85405688574663,20.607755570950005,36.26471434298101
135,Baseline,PSU,GHI,Clear,12.366862654842915,7.827624943712169,21.36236071621973
136,Adjusted,PSU,GHI,Clear,12.007427566497663,9.396893164255927,21.038276249192315
137,PhyGNN,PSU,GHI,Clear,12.006874208906227,9.533528093888611,21.040974039457826
138,Baseline,PSU,DNI,Missing Cloud Data,110.93871984839225,-34.36188240344352,91.42752597316026
139,Adjusted,PSU,DNI,Missing Cloud Data,108.67874252420715,-38.72627413347216,90.2416212661724
140,PhyGNN,PSU,DNI,Missing Cloud Data,77.03711758651265,-28.598454321268584,71.98671558041615
141,Baseline,PSU,GHI,Missing Cloud Data,51.69382013543312,-8.429756023590096,53.453674606223075
142,Adjusted,PSU,GHI,Missing Cloud Data,49.791249169547704,-6.8772029647820325,51.08353317183822
143,PhyGNN,PSU,GHI,Missing Cloud Data,36.804851357719556,-11.047628931198988,40.702771150094996
144,Baseline,SXF,DNI,All-Sky,36.62722932805475,13.96569865310609,43.18684996277577
145,Adjusted,SXF,DNI,All-Sky,35.377555758128324,14.254478213752224,42.05439096728285
146,PhyGNN,SXF,DNI,All-Sky,26.22582312482348,11.75839349648416,32.439743127921325
147,Baseline,SXF,GHI,All-Sky,17.72565454505833,1.674486744683841,22.067199077781133
148,Adjusted,SXF,GHI,All-Sky,16.6306065540954,1.743980827778808,20.8552921179637
149,PhyGNN,SXF,GHI,All-Sky,14.537881971890823,0.3879473823563664,18.393339619177116
150,Baseline,SXF,DNI,Cloudy,94.63852210576597,26.981151721248914,81.48725419546052
151,Adjusted,SXF,DNI,Cloudy,90.61343471255178,19.41988144966904,78.69153512941715
152,PhyGNN,SXF,DNI,Cloudy,57.09089192703211,10.131350626966462,52.36570761033026
153,Baseline,SXF,GHI,Cloudy,30.159326872320932,-1.9380379900725382,33.34655077577143
154,Adjusted,SXF,GHI,Cloudy,28.06405111411226,-3.187827927462902,31.34127868600522
155,PhyGNN,SXF,GHI,Cloudy,23.433641277140694,-6.2206998222350025,26.626994955950927
156,Baseline,SXF,DNI,Clear,14.731087578949966,9.053065411145784,24.63574486665775
157,Adjusted,SXF,DNI,Clear,14.528983397280353,12.304816414655502,24.554984884427068
158,PhyGNN,SXF,DNI,Clear,14.575920334711997,12.372514637334136,24.63905589587462
159,Baseline,SXF,GHI,Clear,7.398402696775881,4.675004352195255,11.801277929199491
160,Adjusted,SXF,GHI,Clear,7.134131308743289,5.840279149174148,11.422527657772516
161,PhyGNN,SXF,GHI,Clear,7.1491761809571095,5.877006629045438,11.494030300982672
162,Baseline,SXF,DNI,Missing Cloud Data,106.1328961962987,11.054888784858251,87.19911925453466
163,Adjusted,SXF,DNI,Missing Cloud Data,105.19415717144719,0.5271992111665925,86.96012173188649
164,PhyGNN,SXF,DNI,Missing Cloud Data,61.14366228554439,-9.493553236620754,53.420493819674604
165,Baseline,SXF,GHI,Missing Cloud Data,37.61041116258468,-4.301837455915234,36.83501060608385
166,Adjusted,SXF,GHI,Missing Cloud Data,37.28822392911216,-6.839955555805186,37.627946900753024
167,PhyGNN,SXF,GHI,Missing Cloud Data,27.121803298131674,-6.73238305499223,27.24695321915237
