,Model,Site,Variable,Condition,MAE (%),MBE (%),RMSE (%)
0,Baseline,BON,DNI,All-Sky,31.209281109786993,11.520370680591737,37.34958726532956
1,Adjusted,BON,DNI,All-Sky,30.0974477125159,11.568175379581735,36.280758994331315
2,PhyGNN,BON,DNI,All-Sky,25.224935228191462,9.58606555514989,31.352959672419423
3,Baseline,BON,GHI,All-Sky,16.20331605332868,0.6078406526634481,20.62751512883957
4,Adjusted,BON,GHI,All-Sky,15.236621554766966,0.5833028659289085,19.487848239643572
5,PhyGNN,BON,GHI,All-Sky,13.912156990371923,-0.8690477488407572,17.72442493821264
6,Baseline,BON,DNI,Cloudy,76.74273204874542,17.19220381396855,68.95120193436615
7,Adjusted,BON,DNI,Cloudy,72.7994068300231,10.948066778821863,65.94215201057894
8,PhyGNN,BON,DNI,Cloudy,54.159159133492906,3.246335513016809,51.39379894310053
9,Baseline,BON,GHI,Cloudy,27.098088477746046,-2.882950570659486,30.280878653257304
10,Adjusted,BON,GHI,Cloudy,25.249076163159668,-3.919560139299519,28.39323126880612
11,PhyGNN,BON,GHI,Cloudy,22.360493243270497,-7.101191069293664,25.150524122748674
12,Baseline,BON,DNI,Clear,15.084585804886208,9.51181259395457,24.004436430182952
13,Adjusted,BON,DNI,Clear,14.975464522284978,11.787773543942393,24.026361283914873
14,PhyGNN,BON,DNI,Clear,14.978500250481977,11.83114501073003,24.05859764776512
15,Baseline,BON,GHI,Clear,6.968819438455284,3.566663331947571,11.225729323387544
16,Adjusted,BON,GHI,Clear,6.749984607623891,4.399965716621199,10.951362451651175
17,PhyGNN,BON,GHI,Clear,6.7512793245058225,4.413366986793879,10.960340283008264
18,Baseline,BON,DNI,Missing Cloud Data,87.76912392926472,-0.14697571493060124,74.0560785387918
19,Adjusted,BON,DNI,Missing Cloud Data,87.46923845514812,-8.567249926642745,74.05615112692252
20,PhyGNN,BON,DNI,Missing Cloud Data,58.309040570423846,-11.946219904075871,52.81713557509914
21,Baseline,BON,GHI,Missing Cloud Data,35.632229370238235,-9.898760315544301,37.12322769833232
22,Adjusted,BON,GHI,Missing Cloud Data,34.53611033827956,-11.6411245994111,35.864750493768014
23,PhyGNN,BON,GHI,Missing Cloud Data,25.800848708773223,-8.129922453788856,25.629778872062527
24,Baseline,TBL,DNI,All-Sky,30.420800743256358,6.01271793610957,38.21451377181111
25,Adjusted,TBL,DNI,All-Sky,29.00102311786836,5.674239743687211,36.47729307897396
26,PhyGNN,TBL,DNI,All-Sky,24.315590208214594,6.678743681969799,31.395485767727216
27,Baseline,TBL,GHI,All-Sky,18.02774437978174,-0.20196659123296187,24.29742136566035
28,Adjusted,TBL,GHI,All-Sky,16.694767211678833,-0.21188933616146047,22.58356249846121
29,PhyGNN,TBL,GHI,All-Sky,14.782164788669167,0.17237853840871895,20.373862786943267
30,Baseline,TBL,DNI,Cloudy,77.5793179239968,8.29838989262315,71.4036452963299
31,Adjusted,TBL,DNI,Cloudy,74.42181852555697,-0.481984434506221,68.25082634240897
32,PhyGNN,TBL,DNI,Cloudy,58.17792673046872,2.8541176350721393,55.763780534942164
33,Baseline,TBL,GHI,Cloudy,33.02299422169702,-3.1474109338794407,37.09234345700577
34,Adjusted,TBL,GHI,Cloudy,30.559554883565887,-4.654606979212889,34.51104466158309
35,PhyGNN,TBL,GHI,Cloudy,26.21643522000623,-3.817582152447132,30.52886025063745
36,Baseline,TBL,DNI,Clear,11.326055075044916,5.087236659348511,20.379001033443956
37,Adjusted,TBL,DNI,Clear,10.609890652153663,8.166929123816953,19.35851465213605
38,PhyGNN,TBL,DNI,Clear,10.604541976021682,8.227356021955616,19.379998481079852
39,Baseline,TBL,GHI,Clear,6.178227708550631,2.125576611469348,11.365681216357746
40,Adjusted,TBL,GHI,Clear,5.738562120525706,3.298826212555697,10.496532785198381
41,PhyGNN,TBL,GHI,Clear,5.746598224065147,3.325317383862089,10.563666930269898
42,Baseline,TBL,DNI,Missing Cloud Data,86.71304095295255,-6.554678410746909,76.23103634298793
43,Adjusted,TBL,DNI,Missing Cloud Data,89.16197377207733,-15.044085095209562,77.09848244795356
44,PhyGNN,TBL,DNI,Missing Cloud Data,62.613213868881495,-8.031343093102436,57.10576204691566
45,Baseline,TBL,GHI,Missing Cloud Data,40.33404360508998,-9.836712017893662,39.87917083668528
46,Adjusted,TBL,GHI,Missing Cloud Data,38.861072818674444,-11.568997252213679,40.74987297225746
47,PhyGNN,TBL,GHI,Missing Cloud Data,29.064009953006398,-0.1416437136188135,29.4518277839217
48,Baseline,DRA,DNI,All-Sky,15.763534405623584,-0.2452832803361554,24.55960689250171
49,Adjusted,DRA,DNI,All-Sky,14.415291369172095,0.4137584501631841,22.468724748381117
50,PhyGNN,DRA,DNI,All-Sky,12.191537188740423,2.715885182299084,19.121381697247188
51,Baseline,DRA,GHI,All-Sky,9.02164292000959,-0.4006828910751695,14.719454653998778
52,Adjusted,DRA,GHI,All-Sky,8.288012665083768,-0.20178118102195314,13.6127663378168
53,PhyGNN,DRA,GHI,All-Sky,7.370109404581168,0.4696769058438,12.280171135380062
54,Baseline,DRA,DNI,Cloudy,65.1938504046492,-0.6286754287106618,62.967598575505086
55,Adjusted,DRA,DNI,Cloudy,61.73566274312074,-8.118817611726795,59.95086860663714
56,PhyGNN,DRA,DNI,Cloudy,46.3149957502354,7.748684636308642,47.73429667029554
57,Baseline,DRA,GHI,Cloudy,26.88093796339547,-4.729559679994183,31.741499149210235
58,Adjusted,DRA,GHI,Cloudy,24.85200967832567,-6.361178466524734,29.764710896670827
59,PhyGNN,DRA,GHI,Cloudy,20.63983199827122,-3.2916188292671964,26.187857842372182
60,Baseline,DRA,DNI,Clear,7.429110035043765,-0.18063969470816882,14.309931099416637
61,Adjusted,DRA,DNI,Clear,6.436623856472001,1.8524324387220208,11.778588876326973
62,PhyGNN,DRA,DNI,Clear,6.437995482695077,1.86730702587854,11.786657340240259
63,Baseline,DRA,GHI,Clear,4.054701079404883,0.8032436465328935,7.224265120014803
64,Adjusted,DRA,GHI,Clear,3.68131292621631,1.5112409744410626,6.292839746112301
65,PhyGNN,DRA,GHI,Clear,3.679597533664615,1.5157505115614966,6.288111625197248
66,Baseline,DRA,DNI,Missing Cloud Data,75.40886758593291,-16.911644133676592,69.09982746842061
