epoch,elapsed_time,training_loss,training_nn_loss,training_p_loss,validation_loss,validation_nn_loss,validation_p_loss
0,10.323374032974243,0.5703343,0.5703343,0.0,0.32559228,0.32559228,0.0
1,19.143791675567627,0.3140505,0.3140505,0.0,0.23233433,0.23233433,0.0
2,27.908786058425903,0.26574448,0.26574448,0.0,0.22331509,0.22331509,0.0
3,36.68868136405945,0.25131977,0.25131977,0.0,0.21104452,0.21104452,0.0
4,45.450153827667236,0.24272236,0.24272236,0.0,0.21302691,0.21302691,0.0
5,54.24436640739441,0.2367681,0.2367681,0.0,0.20538685,0.20538685,0.0
6,63.075462102890015,0.23281986,0.23281986,0.0,0.202836,0.202836,0.0
7,71.79658651351929,0.22915871,0.22915871,0.0,0.20052227,0.20052227,0.0
8,80.47724461555481,0.22710413,0.22710413,0.0,0.20358598,0.20358598,0.0
9,89.25436902046204,0.22470045,0.22470045,0.0,0.20261991,0.20261991,0.0
10,98.02210068702698,0.22337393,0.22337393,0.0,0.19967693,0.19967693,0.0
11,106.86809778213501,0.22250801,0.22250801,0.0,0.20020199,0.20020199,0.0
12,115.59392786026001,0.22124022,0.22124022,0.0,0.19992685,0.19992685,0.0
13,124.31448364257812,0.22010201,0.22010201,0.0,0.19408035,0.19408035,0.0
14,133.06353449821472,0.2202881,0.2202881,0.0,0.19475378,0.19475378,0.0
15,141.8432126045227,0.21935838,0.21935838,0.0,0.19229266,0.19229266,0.0
16,150.62368869781494,0.2186766,0.2186766,0.0,0.19478756,0.19478756,0.0
17,159.36096739768982,0.21819854,0.21819854,0.0,0.19582863,0.19582863,0.0
18,168.0577998161316,0.21745111,0.21745111,0.0,0.19247624,0.19247624,0.0
19,176.65013360977173,0.2169406,0.2169406,0.0,0.19268152,0.19268152,0.0
20,185.4529218673706,0.21675429,0.21675429,0.0,0.19202884,0.19202884,0.0
21,194.35020971298218,0.21706285,0.21706285,0.0,0.19325271,0.19325271,0.0
22,203.233140707016,0.21655473,0.21655473,0.0,0.19500409,0.19500409,0.0
23,212.1051676273346,0.21607962,0.21607962,0.0,0.19245864,0.19245864,0.0
24,221.84782314300537,0.21599054,0.21599054,0.0,0.1920671,0.1920671,0.0
25,231.49994802474976,0.21535286,0.21535286,0.0,0.19325751,0.19325751,0.0
26,241.19883394241333,0.21513654,0.21513654,0.0,0.19197467,0.19197467,0.0
27,250.91918301582336,0.21472447,0.21472447,0.0,0.19200216,0.19200216,0.0
28,260.68567752838135,0.2143102,0.2143102,0.0,0.1928916,0.1928916,0.0
29,270.44507455825806,0.21438435,0.21438435,0.0,0.19057897,0.19057897,0.0
30,280.0312268733978,0.21446675,0.21446675,0.0,0.19077547,0.19077547,0.0
31,289.5416464805603,0.21388108,0.21388108,0.0,0.18953615,0.18953615,0.0
32,299.05618238449097,0.21331805,0.21331805,0.0,0.19152726,0.19152726,0.0
33,308.8795053958893,0.21334432,0.21334432,0.0,0.18993226,0.18993226,0.0
34,318.5178689956665,0.21339366,0.21339366,0.0,0.19259048,0.19259048,0.0
35,328.11458015441895,0.21312803,0.21312803,0.0,0.19016711,0.19016711,0.0
36,337.769846200943,0.21288246,0.21288246,0.0,0.18968624,0.18968624,0.0
37,347.4175956249237,0.21259627,0.21259627,0.0,0.19120982,0.19120982,0.0
38,357.18988370895386,0.21294314,0.21294314,0.0,0.18907195,0.18907195,0.0
39,366.79863953590393,0.21290171,0.21290171,0.0,0.19141968,0.19141968,0.0
40,376.3774342536926,0.21209411,0.21209411,0.0,0.19116211,0.19116211,0.0
41,385.94775390625,0.21252237,0.21252237,0.0,0.1903322,0.1903322,0.0
42,395.5455012321472,0.21178931,0.21178931,0.0,0.18912159,0.18912159,0.0
43,405.194256067276,0.2118767,0.2118767,0.0,0.18974732,0.18974732,0.0
44,414.80337285995483,0.21166807,0.21166807,0.0,0.18750899,0.18750899,0.0
45,425.1456022262573,0.21146794,0.21146794,0.0,0.18947507,0.18947507,0.0
46,435.42121052742004,0.21140867,0.21140867,0.0,0.18749267,0.18749267,0.0
47,445.79578614234924,0.210987,0.210987,0.0,0.18574655,0.18574655,0.0
48,456.11771941185,0.21095872,0.21095872,0.0,0.19091547,0.19091547,0.0
