epoch,elapsed_time,training_loss,training_nn_loss,training_p_loss,validation_loss,validation_nn_loss,validation_p_loss
0,6.206603288650513,0.7420778,0.7420778,0.0,0.5988424,0.5988424,0.0
1,10.058838367462158,0.5644344,0.5644344,0.0,0.5160345,0.5160345,0.0
2,13.843238830566406,0.5178939,0.5178939,0.0,0.49008,0.49008,0.0
3,17.626235008239746,0.5013387,0.5013387,0.0,0.48167068,0.48167068,0.0
4,21.570701599121094,0.49244207,0.49244207,0.0,0.47388744,0.47388744,0.0
5,25.719785690307617,0.4865542,0.4865542,0.0,0.469831,0.469831,0.0
6,29.694811582565308,0.48143488,0.48143488,0.0,0.46817753,0.46817753,0.0
7,33.5148811340332,0.4779,0.4779,0.0,0.4619373,0.4619373,0.0
8,37.296682596206665,0.4744299,0.4744299,0.0,0.46035933,0.46035933,0.0
9,41.10270142555237,0.47138417,0.47138417,0.0,0.4577602,0.4577602,0.0
10,44.8749303817749,0.46919036,0.46919036,0.0,0.45449117,0.45449117,0.0
11,48.57072567939758,0.4663776,0.4663776,0.0,0.45326385,0.45326385,0.0
12,52.338335275650024,0.46423453,0.46423453,0.0,0.4525607,0.4525607,0.0
13,56.095553159713745,0.46131378,0.46131378,0.0,0.45044857,0.45044857,0.0
14,59.857219219207764,0.4594913,0.4594913,0.0,0.446595,0.446595,0.0
15,63.656967878341675,0.4568114,0.4568114,0.0,0.44283068,0.44283068,0.0
16,67.46524095535278,0.45485646,0.45485646,0.0,0.44140726,0.44140726,0.0
17,71.41492199897766,0.45333964,0.45333964,0.0,0.43936682,0.43936682,0.0
18,75.60312557220459,0.4517896,0.4517896,0.0,0.4381727,0.4381727,0.0
19,79.8016312122345,0.450549,0.450549,0.0,0.4376334,0.4376334,0.0
20,83.93275547027588,0.4492945,0.4492945,0.0,0.43782133,0.43782133,0.0
21,88.16639757156372,0.4476887,0.4476887,0.0,0.43375152,0.43375152,0.0
22,92.21505069732666,0.44683528,0.44683528,0.0,0.4353737,0.4353737,0.0
23,96.10190320014954,0.44565126,0.44565126,0.0,0.4351372,0.4351372,0.0
24,99.93123412132263,0.4446166,0.4446166,0.0,0.43185377,0.43185377,0.0
25,103.70643949508667,0.44351923,0.44351923,0.0,0.4306725,0.4306725,0.0
26,107.56690835952759,0.44261837,0.44261837,0.0,0.4286772,0.4286772,0.0
27,111.40309524536133,0.44169307,0.44169307,0.0,0.42972302,0.42972302,0.0
28,115.25993013381958,0.44109014,0.44109014,0.0,0.4306023,0.4306023,0.0
29,119.06492900848389,0.44017172,0.44017172,0.0,0.427473,0.427473,0.0
30,122.87393188476562,0.43928975,0.43928975,0.0,0.4281182,0.4281182,0.0
31,126.69520735740662,0.43843547,0.43843547,0.0,0.42520392,0.42520392,0.0
32,130.44504022598267,0.43745357,0.43745357,0.0,0.42658037,0.42658037,0.0
33,134.1378049850464,0.43648025,0.43648025,0.0,0.4259289,0.4259289,0.0
34,137.92993450164795,0.43647587,0.43647587,0.0,0.42325494,0.42325494,0.0
35,141.735915184021,0.43528205,0.43528205,0.0,0.42340225,0.42340225,0.0
36,145.50076723098755,0.4343096,0.4343096,0.0,0.4224252,0.4224252,0.0
37,149.35356378555298,0.4338557,0.4338557,0.0,0.42211962,0.42211962,0.0
38,153.53618574142456,0.4331132,0.4331132,0.0,0.42168903,0.42168903,0.0
39,157.42399072647095,0.43223292,0.43223292,0.0,0.4207834,0.4207834,0.0
40,161.1902768611908,0.4315543,0.4315543,0.0,0.4187569,0.4187569,0.0
41,164.95395469665527,0.43095276,0.43095276,0.0,0.41906947,0.41906947,0.0
42,168.81044602394104,0.43043923,0.43043923,0.0,0.41789937,0.41789937,0.0
43,172.6767725944519,0.43020898,0.43020898,0.0,0.41883102,0.41883102,0.0
44,176.4734809398651,0.42906365,0.42906365,0.0,0.41717786,0.41717786,0.0
45,180.312575340271,0.42882264,0.42882264,0.0,0.4164216,0.4164216,0.0
46,184.0810399055481,0.4284132,0.4284132,0.0,0.41560936,0.41560936,0.0
47,187.92255544662476,0.42795676,0.42795676,0.0,0.4146389,0.4146389,0.0
48,192.14938473701477,0.4272684,0.4272684,0.0,0.41587996,0.41587996,0.0
49,195.84529328346252,0.42664772,0.42664772,0.0,0.41479343,0.41479343,0.0
50,199.44623517990112,0.42624885,0.42624885,0.0,0.41554475,0.41554475,0.0
51,203.39328455924988,0.42550227,0.42550227,0.0,0.41405088,0.41405088,0.0
52,207.56924891471863,0.42522886,0.42522886,0.0,0.41425413,0.41425413,0.0
53,211.7185730934143,0.42451477,0.42451477,0.0,0.41548422,0.41548422,0.0
54,215.76501202583313,0.424339,0.424339,0.0,0.41176343,0.41176343,0.0
55,219.95159101486206,0.42388308,0.42388308,0.0,0.4125361,0.4125361,0.0
56,224.1468482017517,0.42294812,0.42294812,0.0,0.4137036,0.4137036,0.0
57,228.35528230667114,0.42284358,0.42284358,0.0,0.4122683,0.4122683,0.0
58,232.56426739692688,0.42237124,0.42237124,0.0,0.4108078,0.4108078,0.0
59,236.80678606033325,0.4214136,0.4214136,0.0,0.41046324,0.41046324,0.0
60,241.03156065940857,0.42158347,0.42158347,0.0,0.41199976,0.41199976,0.0
61,245.28220129013062,0.42082524,0.42082524,0.0,0.40888447,0.40888447,0.0
62,249.52296805381775,0.42006683,0.42006683,0.0,0.40920484,0.40920484,0.0
63,253.73585772514343,0.42017078,0.42017078,0.0,0.40838027,0.40838027,0.0
64,257.92371106147766,0.41917664,0.41917664,0.0,0.4090288,0.4090288,0.0
65,262.20144152641296,0.41906467,0.41906467,0.0,0.40780586,0.40780586,0.0
66,266.3763210773468,0.41813207,0.41813207,0.0,0.40722856,0.40722856,0.0
67,270.4546501636505,0.41801593,0.41801593,0.0,0.40649223,0.40649223,0.0
68,274.1038119792938,0.4175899,0.4175899,0.0,0.40659606,0.40659606,0.0
69,277.659627199173,0.41728336,0.41728336,0.0,0.4053649,0.4053649,0.0
70,281.3343334197998,0.4164801,0.4164801,0.0,0.40578955,0.40578955,0.0
71,285.08103108406067,0.41613296,0.41613296,0.0,0.40495157,0.40495157,0.0
72,288.32799768447876,0.4157948,0.4157948,0.0,0.40454566,0.40454566,0.0
