epoch,elapsed_time,training_loss,training_nn_loss,training_p_loss,validation_loss,validation_nn_loss,validation_p_loss
0,8.69352102279663,0.7377746,0.7377746,0.0,0.5859952,0.5859952,0.0
1,16.788824558258057,0.53557277,0.53557277,0.0,0.4855975,0.4855975,0.0
2,25.005339860916138,0.4946108,0.4946108,0.0,0.47063613,0.47063613,0.0
3,33.13605856895447,0.4837864,0.4837864,0.0,0.4664962,0.4664962,0.0
4,41.40825605392456,0.47593904,0.47593904,0.0,0.46050647,0.46050647,0.0
5,49.6970853805542,0.4729246,0.4729246,0.0,0.4560876,0.4560876,0.0
6,57.869657039642334,0.46876836,0.46876836,0.0,0.452474,0.452474,0.0
7,65.98530602455139,0.46507758,0.46507758,0.0,0.45566818,0.45566818,0.0
8,74.16046571731567,0.4627769,0.4627769,0.0,0.4604388,0.4604388,0.0
9,82.24742341041565,0.46216017,0.46216017,0.0,0.4490199,0.4490199,0.0
10,90.35702991485596,0.4590053,0.4590053,0.0,0.44986114,0.44986114,0.0
11,98.4186360836029,0.4578038,0.4578038,0.0,0.44927207,0.44927207,0.0
12,106.61691546440125,0.45708078,0.45708078,0.0,0.44918746,0.44918746,0.0
13,114.66754698753357,0.455923,0.455923,0.0,0.44847167,0.44847167,0.0
14,122.78546643257141,0.45466623,0.45466623,0.0,0.44300136,0.44300136,0.0
15,130.94654893875122,0.4524628,0.4524628,0.0,0.44440553,0.44440553,0.0
16,139.12190794944763,0.45166412,0.45166412,0.0,0.44387162,0.44387162,0.0
17,147.30541944503784,0.4517131,0.4517131,0.0,0.44279653,0.44279653,0.0
18,155.38243699073792,0.45049012,0.45049012,0.0,0.43961442,0.43961442,0.0
19,163.45257997512817,0.45030338,0.45030338,0.0,0.44339865,0.44339865,0.0
20,171.69466066360474,0.44958025,0.44958025,0.0,0.44604218,0.44604218,0.0
21,179.71828317642212,0.4485768,0.4485768,0.0,0.44093338,0.44093338,0.0
22,187.84545850753784,0.44838905,0.44838905,0.0,0.44336632,0.44336632,0.0
23,196.0395381450653,0.4473278,0.4473278,0.0,0.4381763,0.4381763,0.0
24,204.07857942581177,0.4470087,0.4470087,0.0,0.43732536,0.43732536,0.0
25,212.22184228897095,0.44684398,0.44684398,0.0,0.43913293,0.43913293,0.0
26,220.23795294761658,0.44643214,0.44643214,0.0,0.43875062,0.43875062,0.0
27,228.25588130950928,0.44646597,0.44646597,0.0,0.4399455,0.4399455,0.0
28,236.24138045310974,0.44629744,0.44629744,0.0,0.43768197,0.43768197,0.0
29,244.45704317092896,0.44519842,0.44519842,0.0,0.4367434,0.4367434,0.0
30,252.67603158950806,0.44479436,0.44479436,0.0,0.43795598,0.43795598,0.0
31,260.75864005088806,0.44602245,0.44602245,0.0,0.4382298,0.4382298,0.0
32,268.7395899295807,0.44382834,0.44382834,0.0,0.43848658,0.43848658,0.0
33,276.9134712219238,0.44330168,0.44330168,0.0,0.43371022,0.43371022,0.0
34,285.1050229072571,0.44375426,0.44375426,0.0,0.43456572,0.43456572,0.0
