epoch,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss
0,6.454268217086792,0.65398556,0.6462449,0.0,0.0,0.65398556,0.6462449
1,13.409016370773315,0.546156,0.52856845,0.0,0.0,0.546156,0.52856845
2,20.225280284881592,0.51402515,0.49315587,0.0,0.0,0.51402515,0.49315587
3,26.58535075187683,0.49898598,0.48142505,0.0,0.0,0.49898598,0.48142505
4,33.00510048866272,0.4898549,0.4727915,0.0,0.0,0.4898549,0.4727915
5,39.35389566421509,0.49001682,0.468152,0.0,0.0,0.49001682,0.468152
6,46.27054047584534,0.49418443,0.4639937,0.0,0.0,0.49418443,0.4639937
7,53.164692878723145,0.47617954,0.46043095,0.0,0.0,0.47617954,0.46043095
8,59.64117407798767,0.4665284,0.45904586,0.0,0.0,0.4665284,0.45904586
9,66.06893801689148,0.47774884,0.4565893,0.0,0.0,0.47774884,0.4565893
10,73.03263354301453,0.47500592,0.45499155,0.0,0.0,0.47500592,0.45499155
11,79.54202628135681,0.46733418,0.45269334,0.0,0.0,0.46733418,0.45269334
12,86.0272753238678,0.46402815,0.45126626,0.0,0.0,0.46402815,0.45126626
13,93.1126937866211,0.46436465,0.44813788,0.0,0.0,0.46436465,0.44813788
14,100.1278977394104,0.464405,0.44811022,0.0,0.0,0.464405,0.44811022
15,107.18402028083801,0.458442,0.4458991,0.0,0.0,0.458442,0.4458991
16,114.18964648246765,0.45348167,0.44460413,0.0,0.0,0.45348167,0.44460413
17,121.24692416191101,0.4680251,0.44300094,0.0,0.0,0.4680251,0.44300094
18,127.8329062461853,0.45991048,0.4424487,0.0,0.0,0.45991048,0.4424487
19,134.9608256816864,0.46244746,0.43956754,0.0,0.0,0.46244746,0.43956754
20,142.11838102340698,0.45735738,0.43905917,0.0,0.0,0.45735738,0.43905917
21,149.29361128807068,0.45177627,0.43835187,0.0,0.0,0.45177627,0.43835187
22,156.0345423221588,0.45754632,0.43617937,0.0,0.0,0.45754632,0.43617937
23,163.24301266670227,0.4446363,0.43380618,0.0,0.0,0.4446363,0.43380618
24,170.35597467422485,0.450349,0.4334174,0.0,0.0,0.450349,0.4334174
25,177.3579466342926,0.45285836,0.43323603,0.0,0.0,0.45285836,0.43323603
26,184.03109216690063,0.45186767,0.4313975,0.0,0.0,0.45186767,0.4313975
27,191.13734126091003,0.44888633,0.4318996,0.0,0.0,0.44888633,0.4318996
28,198.26016688346863,0.44655797,0.42918846,0.0,0.0,0.44655797,0.42918846
29,204.94042682647705,0.4375592,0.42805827,0.0,0.0,0.4375592,0.42805827
30,211.49945855140686,0.44378123,0.42839187,0.0,0.0,0.44378123,0.42839187
31,218.0740737915039,0.43639204,0.42702913,0.0,0.0,0.43639204,0.42702913
32,224.6499879360199,0.43972626,0.42647642,0.0,0.0,0.43972626,0.42647642
33,231.2337408065796,0.44048396,0.42500392,0.0,0.0,0.44048396,0.42500392
34,237.7839434146881,0.4433708,0.4252663,0.0,0.0,0.4433708,0.4252663
35,244.36410236358643,0.44974482,0.42269567,0.0,0.0,0.44974482,0.42269567
36,250.93821096420288,0.43648058,0.42436758,0.0,0.0,0.43648058,0.42436758
37,258.0586955547333,0.4307995,0.42264244,0.0,0.0,0.4307995,0.42264244
38,264.7153751850128,0.42570606,0.4203194,0.0,0.0,0.42570606,0.4203194
39,271.2914071083069,0.4339113,0.42003784,0.0,0.0,0.4339113,0.42003784
40,278.37487959861755,0.4368534,0.4211255,0.0,0.0,0.4368534,0.4211255
41,285.0797908306122,0.4358099,0.41986886,0.0,0.0,0.4358099,0.41986886
42,292.1883726119995,0.43504056,0.4182303,0.0,0.0,0.43504056,0.4182303
43,298.9133815765381,0.43149734,0.4173802,0.0,0.0,0.43149734,0.4173802
44,305.5065870285034,0.43699706,0.41912058,0.0,0.0,0.43699706,0.41912058
45,312.6185872554779,0.43349722,0.41577375,0.0,0.0,0.43349722,0.41577375
46,319.2899227142334,0.42930502,0.41653046,0.0,0.0,0.42930502,0.41653046
47,326.4021849632263,0.42680472,0.41569674,0.0,0.0,0.42680472,0.41569674
48,333.5203535556793,0.42853495,0.412654,0.0,0.0,0.42853495,0.412654
49,340.2093162536621,0.4393485,0.41330448,0.0,0.0,0.4393485,0.41330448
50,346.7876434326172,0.42195287,0.41250774,0.0,0.0,0.42195287,0.41250774
51,353.3173973560333,0.4301691,0.4137888,0.0,0.0,0.4301691,0.4137888
52,360.43100023269653,0.43372908,0.41229054,0.0,0.0,0.43372908,0.41229054
53,367.5345995426178,0.43037176,0.41254637,0.0,0.0,0.43037176,0.41254637
54,374.62990164756775,0.42756414,0.41194206,0.0,0.0,0.42756414,0.41194206
55,381.3015191555023,0.42340136,0.40988478,0.0,0.0,0.42340136,0.40988478
56,388.423702955246,0.43102396,0.41150522,0.0,0.0,0.43102396,0.41150522
57,395.53778076171875,0.4241024,0.40932736,0.0,0.0,0.4241024,0.40932736
58,402.6411576271057,0.4213278,0.40843707,0.0,0.0,0.4213278,0.40843707
59,409.32371711730957,0.42617354,0.4094136,0.0,0.0,0.42617354,0.4094136
60,416.45540285110474,0.42134488,0.40780914,0.0,0.0,0.42134488,0.40780914
61,423.57003593444824,0.42700115,0.40837196,0.0,0.0,0.42700115,0.40837196
62,430.21462392807007,0.41759804,0.40753978,0.0,0.0,0.41759804,0.40753978
63,437.3218266963959,0.42675528,0.406772,0.0,0.0,0.42675528,0.406772
64,444.00076603889465,0.41865614,0.4071687,0.0,0.0,0.41865614,0.4071687
65,450.56917095184326,0.4106171,0.40494776,0.0,0.0,0.4106171,0.40494776
66,457.7120728492737,0.41586378,0.40438196,0.0,0.0,0.41586378,0.40438196
67,464.88274121284485,0.42420554,0.40434447,0.0,0.0,0.42420554,0.40434447
68,471.9739055633545,0.42037675,0.40420538,0.0,0.0,0.42037675,0.40420538
69,479.07986092567444,0.42926052,0.4033458,0.0,0.0,0.42926052,0.4033458
70,486.2185597419739,0.41668564,0.40497494,0.0,0.0,0.41668564,0.40497494
71,492.90501952171326,0.4127753,0.40392917,0.0,0.0,0.4127753,0.40392917
72,499.4920883178711,0.4261764,0.40330803,0.0,0.0,0.4261764,0.40330803
73,506.67736053466797,0.4131621,0.403281,0.0,0.0,0.4131621,0.403281
74,513.3061912059784,0.41987112,0.40161118,0.0,0.0,0.41987112,0.40161118
75,520.4924883842468,0.41762006,0.40328512,0.0,0.0,0.41762006,0.40328512
76,527.2226786613464,0.41667712,0.40158552,0.0,0.0,0.41667712,0.40158552
77,533.8447539806366,0.4210921,0.40061662,0.0,0.0,0.4210921,0.40061662
78,540.4256324768066,0.40770862,0.39959288,0.0,0.0,0.40770862,0.39959288
79,547.0453116893768,0.4175144,0.40026706,0.0,0.0,0.4175144,0.40026706
80,553.7248027324677,0.41566357,0.39874274,0.0,0.0,0.41566357,0.39874274
81,560.7957899570465,0.41020307,0.39952236,0.0,0.0,0.41020307,0.39952236
82,567.8594870567322,0.3973046,0.40007573,0.0,0.0,0.3973046,0.40007573
83,574.94775557518,0.41763994,0.39818662,0.0,0.0,0.41763994,0.39818662
84,581.5967934131622,0.41167164,0.39784595,0.0,0.0,0.41167164,0.39784595
85,588.6661684513092,0.41081443,0.39887145,0.0,0.0,0.41081443,0.39887145
86,595.3166935443878,0.41557,0.39641964,0.0,0.0,0.41557,0.39641964
87,602.4403100013733,0.41840664,0.39752364,0.0,0.0,0.41840664,0.39752364
88,609.0516450405121,0.41829798,0.39756724,0.0,0.0,0.41829798,0.39756724
89,616.1291196346283,0.40997946,0.39634,0.0,0.0,0.40997946,0.39634
90,623.2300717830658,0.40814388,0.39584187,0.0,0.0,0.40814388,0.39584187
91,630.3410890102386,0.4098399,0.3959242,0.0,0.0,0.4098399,0.3959242
