epoch,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss
0,7.301602125167847,0.7749639,0.7639782,0.0,0.0,0.7749639,0.7639782
1,14.902015686035156,0.6930714,0.68357027,0.0,0.0,0.6930714,0.68357027
2,22.398762464523315,0.63736045,0.6289487,0.0,0.0,0.63736045,0.6289487
3,30.617700576782227,0.5926748,0.5775663,0.0,0.0,0.5926748,0.5775663
4,38.80496144294739,0.5672316,0.5493454,0.0,0.0,0.5672316,0.5493454
5,47.071300745010376,0.54032815,0.5277206,0.0,0.0,0.54032815,0.5277206
6,54.71268558502197,0.53671044,0.5109229,0.0,0.0,0.53671044,0.5109229
7,62.2856969833374,0.5264698,0.5012107,0.0,0.0,0.5264698,0.5012107
8,69.75084948539734,0.5138712,0.494851,0.0,0.0,0.5138712,0.494851
9,77.93637013435364,0.50838995,0.48913708,0.0,0.0,0.50838995,0.48913708
10,86.1424036026001,0.504405,0.48546383,0.0,0.0,0.504405,0.48546383
11,94.34806394577026,0.49673215,0.4807707,0.0,0.0,0.49673215,0.4807707
12,102.49930357933044,0.49520075,0.47933498,0.0,0.0,0.49520075,0.47933498
13,110.66863751411438,0.4934491,0.47661665,0.0,0.0,0.4934491,0.47661665
14,118.38611006736755,0.4917341,0.47516334,0.0,0.0,0.4917341,0.47516334
15,126.57039332389832,0.4928815,0.47316912,0.0,0.0,0.4928815,0.47316912
16,134.27347993850708,0.4909623,0.4715254,0.0,0.0,0.4909623,0.4715254
17,142.43159103393555,0.48272473,0.47009245,0.0,0.0,0.48272473,0.47009245
18,150.5892837047577,0.4842337,0.4692134,0.0,0.0,0.4842337,0.4692134
19,158.75007724761963,0.4806855,0.46764174,0.0,0.0,0.4806855,0.46764174
20,166.94934463500977,0.4730821,0.4669945,0.0,0.0,0.4730821,0.4669945
21,175.08523726463318,0.47750723,0.46536037,0.0,0.0,0.47750723,0.46536037
22,182.76617574691772,0.48007366,0.46428987,0.0,0.0,0.48007366,0.46428987
23,190.85062527656555,0.47602403,0.46411982,0.0,0.0,0.47602403,0.46411982
24,198.53675770759583,0.47785404,0.46425286,0.0,0.0,0.47785404,0.46425286
25,206.10678577423096,0.477575,0.46249312,0.0,0.0,0.477575,0.46249312
26,213.60814452171326,0.47398618,0.46228373,0.0,0.0,0.47398618,0.46228373
27,221.77026200294495,0.4693786,0.46049517,0.0,0.0,0.4693786,0.46049517
28,229.4245584011078,0.4680342,0.46043992,0.0,0.0,0.4680342,0.46043992
29,237.62542176246643,0.4738141,0.4589293,0.0,0.0,0.4738141,0.4589293
30,245.75523805618286,0.46919906,0.4581268,0.0,0.0,0.46919906,0.4581268
31,253.49625205993652,0.4698657,0.4574676,0.0,0.0,0.4698657,0.4574676
32,261.7618284225464,0.46795177,0.45669645,0.0,0.0,0.46795177,0.45669645
33,269.4927957057953,0.4755202,0.4570976,0.0,0.0,0.4755202,0.4570976
34,277.7346794605255,0.47041667,0.45608062,0.0,0.0,0.47041667,0.45608062
35,285.5135545730591,0.47226048,0.45452234,0.0,0.0,0.47226048,0.45452234
36,293.7512774467468,0.4657695,0.4556457,0.0,0.0,0.4657695,0.4556457
37,301.46156430244446,0.46736646,0.45439497,0.0,0.0,0.46736646,0.45439497
38,309.0899019241333,0.46976587,0.4534228,0.0,0.0,0.46976587,0.4534228
39,316.6740996837616,0.46663365,0.45273662,0.0,0.0,0.46663365,0.45273662
40,324.25796604156494,0.46645835,0.45321476,0.0,0.0,0.46645835,0.45321476
41,331.8361339569092,0.46237376,0.4512994,0.0,0.0,0.46237376,0.4512994
42,339.43925523757935,0.46058366,0.45117295,0.0,0.0,0.46058366,0.45117295
43,347.0191056728363,0.46377686,0.45026982,0.0,0.0,0.46377686,0.45026982
44,354.61348247528076,0.4594975,0.4492229,0.0,0.0,0.4594975,0.4492229
45,362.9141294956207,0.46157345,0.449387,0.0,0.0,0.46157345,0.449387
46,371.16152453422546,0.46189624,0.4478874,0.0,0.0,0.46189624,0.4478874
47,378.8610637187958,0.46042076,0.4471829,0.0,0.0,0.46042076,0.4471829
48,386.41862320899963,0.46401593,0.4479671,0.0,0.0,0.46401593,0.4479671
49,394.02279901504517,0.45724133,0.4463539,0.0,0.0,0.45724133,0.4463539
50,402.26225900650024,0.45624188,0.44713932,0.0,0.0,0.45624188,0.44713932
51,409.94324588775635,0.4635024,0.445388,0.0,0.0,0.4635024,0.445388
52,417.5549774169922,0.45582846,0.44551578,0.0,0.0,0.45582846,0.44551578
53,425.17651867866516,0.45192072,0.44385839,0.0,0.0,0.45192072,0.44385839
54,433.47791147232056,0.45745826,0.44482896,0.0,0.0,0.45745826,0.44482896
55,441.74796867370605,0.45258132,0.44328672,0.0,0.0,0.45258132,0.44328672
56,449.48037600517273,0.45929545,0.44275004,0.0,0.0,0.45929545,0.44275004
57,457.6941456794739,0.4573093,0.44205767,0.0,0.0,0.4573093,0.44205767
58,465.95311427116394,0.4563538,0.4420723,0.0,0.0,0.4563538,0.4420723
