epoch,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss
0,6.276097297668457,0.58363086,0.5773399,0.0,0.0,0.58363086,0.5773399
1,12.593870878219604,0.524373,0.50082356,0.0,0.0,0.524373,0.50082356
2,19.289714336395264,0.482483,0.47932974,0.0,0.0,0.482483,0.47932974
3,25.7731990814209,0.48327583,0.47056088,0.0,0.0,0.48327583,0.47056088
4,32.300591707229614,0.47717586,0.46474877,0.0,0.0,0.47717586,0.46474877
5,38.85122108459473,0.46968758,0.46051958,0.0,0.0,0.46968758,0.46051958
6,46.00638794898987,0.4690157,0.45892844,0.0,0.0,0.4690157,0.45892844
7,52.70203709602356,0.46525788,0.45294318,0.0,0.0,0.46525788,0.45294318
8,59.81617212295532,0.4702614,0.4489841,0.0,0.0,0.4702614,0.4489841
9,66.23104095458984,0.45827436,0.4466295,0.0,0.0,0.45827436,0.4466295
10,72.85919332504272,0.45766613,0.4452415,0.0,0.0,0.45766613,0.4452415
11,79.5724503993988,0.45007852,0.441709,0.0,0.0,0.45007852,0.441709
12,85.95541977882385,0.45297274,0.4390431,0.0,0.0,0.45297274,0.4390431
13,92.23886132240295,0.44993106,0.43859452,0.0,0.0,0.44993106,0.43859452
14,98.91076707839966,0.45336694,0.44088396,0.0,0.0,0.45336694,0.44088396
15,105.61333703994751,0.44102618,0.43473232,0.0,0.0,0.44102618,0.43473232
16,112.00308752059937,0.44211724,0.43324944,0.0,0.0,0.44211724,0.43324944
17,118.64562940597534,0.4440747,0.43087912,0.0,0.0,0.4440747,0.43087912
18,125.27540755271912,0.43931195,0.43148568,0.0,0.0,0.43931195,0.43148568
19,131.60949611663818,0.4364672,0.42913464,0.0,0.0,0.4364672,0.42913464
20,138.50026321411133,0.44172034,0.42801356,0.0,0.0,0.44172034,0.42801356
21,145.12724471092224,0.4468063,0.4269948,0.0,0.0,0.4468063,0.4269948
22,152.07155776023865,0.44072515,0.4268261,0.0,0.0,0.44072515,0.4268261
23,158.47438168525696,0.43619663,0.42557645,0.0,0.0,0.43619663,0.42557645
24,165.079167842865,0.4369379,0.4234698,0.0,0.0,0.4369379,0.4234698
25,171.65955018997192,0.42719975,0.4226919,0.0,0.0,0.42719975,0.4226919
26,178.24598383903503,0.42400613,0.4196913,0.0,0.0,0.42400613,0.4196913
27,184.83508968353271,0.43509278,0.41826358,0.0,0.0,0.43509278,0.41826358
28,191.77184557914734,0.43758187,0.42015472,0.0,0.0,0.43758187,0.42015472
29,198.70343160629272,0.43106636,0.4166949,0.0,0.0,0.43106636,0.4166949
30,205.6233515739441,0.41821748,0.4175237,0.0,0.0,0.41821748,0.4175237
31,212.5363438129425,0.4231151,0.41623726,0.0,0.0,0.4231151,0.41623726
32,219.4801585674286,0.4183352,0.41463685,0.0,0.0,0.4183352,0.41463685
33,226.16929531097412,0.4259982,0.41293105,0.0,0.0,0.4259982,0.41293105
34,232.76570773124695,0.42401305,0.41379756,0.0,0.0,0.42401305,0.41379756
35,239.72173070907593,0.42826316,0.41281128,0.0,0.0,0.42826316,0.41281128
36,246.44783282279968,0.42251754,0.41227856,0.0,0.0,0.42251754,0.41227856
37,253.0151882171631,0.42506802,0.4113783,0.0,0.0,0.42506802,0.4113783
38,259.95805525779724,0.41721487,0.40887624,0.0,0.0,0.41721487,0.40887624
39,266.8684184551239,0.42442524,0.4095173,0.0,0.0,0.42442524,0.4095173
