epoch,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss
0,7.365488290786743,0.7054155,0.69554406,0.0,0.0,0.7054155,0.69554406
1,15.561147689819336,0.63749903,0.6286943,0.0,0.0,0.63749903,0.6286943
2,23.222511053085327,0.56486934,0.5541502,0.0,0.0,0.56486934,0.5541502
3,30.76318597793579,0.5354945,0.5146168,0.0,0.0,0.5354945,0.5146168
4,38.89391303062439,0.50921524,0.49265093,0.0,0.0,0.50921524,0.49265093
5,46.4869589805603,0.502538,0.482977,0.0,0.0,0.502538,0.482977
6,54.084434270858765,0.49626315,0.47537813,0.0,0.0,0.49626315,0.47537813
7,61.50306534767151,0.48125944,0.46985674,0.0,0.0,0.48125944,0.46985674
8,69.47968173027039,0.4808357,0.46671534,0.0,0.0,0.4808357,0.46671534
9,77.05459547042847,0.4814609,0.46342948,0.0,0.0,0.4814609,0.46342948
10,84.58404231071472,0.47283235,0.4606408,0.0,0.0,0.47283235,0.4606408
11,92.58321380615234,0.46437997,0.45637223,0.0,0.0,0.46437997,0.45637223
12,100.67265176773071,0.47044608,0.45590964,0.0,0.0,0.47044608,0.45590964
13,108.35214829444885,0.4652732,0.45201015,0.0,0.0,0.4652732,0.45201015
14,116.41667246818542,0.46521673,0.45166448,0.0,0.0,0.46521673,0.45166448
15,124.41715788841248,0.45865127,0.44997007,0.0,0.0,0.45865127,0.44997007
16,132.47152638435364,0.46160224,0.44854173,0.0,0.0,0.46160224,0.44854173
17,140.05848050117493,0.45886442,0.44761723,0.0,0.0,0.45886442,0.44761723
18,148.08139729499817,0.46250817,0.44630754,0.0,0.0,0.46250817,0.44630754
19,155.7297399044037,0.45557845,0.4445936,0.0,0.0,0.45557845,0.4445936
20,163.28922510147095,0.4554416,0.44394192,0.0,0.0,0.4554416,0.44394192
21,170.7461280822754,0.4565676,0.442713,0.0,0.0,0.4565676,0.442713
22,178.26016545295715,0.44913706,0.44090775,0.0,0.0,0.44913706,0.44090775
23,186.41958260536194,0.45952365,0.4424719,0.0,0.0,0.45952365,0.4424719
24,194.58444833755493,0.45054978,0.4397847,0.0,0.0,0.45054978,0.4397847
25,202.7807846069336,0.448084,0.43866393,0.0,0.0,0.448084,0.43866393
