epoch,elapsed_time,training_loss,training_nn_loss,training_p_loss,validation_loss,validation_nn_loss,validation_p_loss
0,8.660624265670776,0.6204171,0.6204171,0.0,0.49769032,0.49769032,0.0
1,17.14357304573059,0.50000244,0.50000244,0.0,0.4752869,0.4752869,0.0
2,25.559718132019043,0.48155242,0.48155242,0.0,0.46154928,0.46154928,0.0
3,33.85973501205444,0.47061965,0.47061965,0.0,0.450361,0.450361,0.0
4,42.29641103744507,0.4627868,0.4627868,0.0,0.4446981,0.4446981,0.0
5,50.553526163101196,0.45772547,0.45772547,0.0,0.44039026,0.44039026,0.0
6,58.791090965270996,0.45391187,0.45391187,0.0,0.4397268,0.4397268,0.0
7,67.20913052558899,0.45054793,0.45054793,0.0,0.43984216,0.43984216,0.0
8,75.63079690933228,0.44812834,0.44812834,0.0,0.43067804,0.43067804,0.0
9,83.88529205322266,0.44516844,0.44516844,0.0,0.42965212,0.42965212,0.0
10,92.32006525993347,0.4437087,0.4437087,0.0,0.4256932,0.4256932,0.0
11,100.74290585517883,0.44132698,0.44132698,0.0,0.4282626,0.4282626,0.0
12,109.14371991157532,0.44145104,0.44145104,0.0,0.42638358,0.42638358,0.0
13,117.54078030586243,0.43809742,0.43809742,0.0,0.42803186,0.42803186,0.0
14,125.86955785751343,0.4371068,0.4371068,0.0,0.42206085,0.42206085,0.0
15,134.1821484565735,0.43538785,0.43538785,0.0,0.4210962,0.4210962,0.0
16,142.58786797523499,0.4344442,0.4344442,0.0,0.42028964,0.42028964,0.0
17,150.9544050693512,0.43316218,0.43316218,0.0,0.4189488,0.4189488,0.0
18,159.34437894821167,0.43170476,0.43170476,0.0,0.41684085,0.41684085,0.0
19,167.73698091506958,0.43123886,0.43123886,0.0,0.4175526,0.4175526,0.0
20,176.18755674362183,0.42963004,0.42963004,0.0,0.4185344,0.4185344,0.0
21,184.48445296287537,0.4290244,0.4290244,0.0,0.4169448,0.4169448,0.0
22,192.80255031585693,0.4272635,0.4272635,0.0,0.4158508,0.4158508,0.0
23,201.21644473075867,0.427907,0.427907,0.0,0.41434282,0.41434282,0.0
24,209.5915505886078,0.42639923,0.42639923,0.0,0.41467333,0.41467333,0.0
25,217.8761386871338,0.4254449,0.4254449,0.0,0.4126863,0.4126863,0.0
26,226.299973487854,0.42484507,0.42484507,0.0,0.41453195,0.41453195,0.0
27,234.73804330825806,0.4242848,0.4242848,0.0,0.41249874,0.41249874,0.0
28,243.13000535964966,0.4231707,0.4231707,0.0,0.41074878,0.41074878,0.0
29,251.44147062301636,0.42287654,0.42287654,0.0,0.4089169,0.4089169,0.0
30,259.7488269805908,0.4216544,0.4216544,0.0,0.41062322,0.41062322,0.0
31,268.056414604187,0.4206255,0.4206255,0.0,0.40737584,0.40737584,0.0
32,276.4210829734802,0.41990143,0.41990143,0.0,0.4081399,0.4081399,0.0
33,284.59833097457886,0.4195305,0.4195305,0.0,0.40653694,0.40653694,0.0
34,292.8966236114502,0.4192234,0.4192234,0.0,0.4079123,0.4079123,0.0
35,301.32216119766235,0.4189371,0.4189371,0.0,0.40676174,0.40676174,0.0
36,309.7329931259155,0.41775894,0.41775894,0.0,0.40710914,0.40710914,0.0
37,318.0215585231781,0.41667867,0.41667867,0.0,0.4055513,0.4055513,0.0
38,326.33392453193665,0.41638193,0.41638193,0.0,0.40589958,0.40589958,0.0
39,334.69384956359863,0.4152295,0.4152295,0.0,0.4032246,0.4032246,0.0
40,342.9540183544159,0.41509384,0.41509384,0.0,0.4047289,0.4047289,0.0
41,351.35831475257874,0.41430843,0.41430843,0.0,0.4024588,0.4024588,0.0
42,359.7797882556915,0.41432285,0.41432285,0.0,0.40367436,0.40367436,0.0
43,368.1289715766907,0.41305178,0.41305178,0.0,0.40134552,0.40134552,0.0
44,376.6057548522949,0.41288015,0.41288015,0.0,0.40364617,0.40364617,0.0
45,385.03033661842346,0.41276416,0.41276416,0.0,0.40390462,0.40390462,0.0
46,393.3023407459259,0.41162014,0.41162014,0.0,0.40041506,0.40041506,0.0
47,401.759090423584,0.41087064,0.41087064,0.0,0.39942303,0.39942303,0.0
48,410.08756971359253,0.41085526,0.41085526,0.0,0.40038154,0.40038154,0.0
49,418.4921135902405,0.41027343,0.41027343,0.0,0.39916196,0.39916196,0.0
50,426.90128111839294,0.40989655,0.40989655,0.0,0.4002964,0.4002964,0.0
51,435.29039192199707,0.41005027,0.41005027,0.0,0.4003217,0.4003217,0.0
52,443.6473882198334,0.40869975,0.40869975,0.0,0.39845252,0.39845252,0.0
53,451.98048663139343,0.40902084,0.40902084,0.0,0.4059723,0.4059723,0.0
54,460.3931269645691,0.4083966,0.4083966,0.0,0.39809936,0.39809936,0.0
55,468.7373309135437,0.40815562,0.40815562,0.0,0.40054804,0.40054804,0.0
