epoch,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss
0,7.472785711288452,0.9377266,0.9312265,0.0,0.0,0.9377266,0.9312265
1,15.884127140045166,0.7283626,0.7218489,0.0,0.0,0.7283626,0.7218489
2,23.69423484802246,0.6774458,0.67064303,0.0,0.0,0.6774458,0.67064303
3,31.95060420036316,0.6478812,0.635966,0.0,0.0,0.6478812,0.635966
4,39.779863119125366,0.5987661,0.58313113,0.0,0.0,0.5987661,0.58313113
5,47.43783688545227,0.5672292,0.5523922,0.0,0.0,0.5672292,0.5523922
6,55.061463356018066,0.5486012,0.53274393,0.0,0.0,0.5486012,0.53274393
7,62.69450759887695,0.5350678,0.5176789,0.0,0.0,0.5350678,0.5176789
8,70.95034956932068,0.5242782,0.50456566,0.0,0.0,0.5242782,0.50456566
9,79.27398371696472,0.5139624,0.49361902,0.0,0.0,0.5139624,0.49361902
10,87.58198761940002,0.5079571,0.48558432,0.0,0.0,0.5079571,0.48558432
11,95.45455718040466,0.5034833,0.47793823,0.0,0.0,0.5034833,0.47793823
12,103.73338007926941,0.4952514,0.4726632,0.0,0.0,0.4952514,0.4726632
13,111.52740859985352,0.48882508,0.46847865,0.0,0.0,0.48882508,0.46847865
14,119.90184354782104,0.48720157,0.46510786,0.0,0.0,0.48720157,0.46510786
15,127.66063237190247,0.48277733,0.46202824,0.0,0.0,0.48277733,0.46202824
16,135.96055388450623,0.47969157,0.4590681,0.0,0.0,0.47969157,0.4590681
17,144.21048402786255,0.4772496,0.45594248,0.0,0.0,0.4772496,0.45594248
18,152.06068587303162,0.47686583,0.4532111,0.0,0.0,0.47686583,0.4532111
19,159.61137437820435,0.47184756,0.4511206,0.0,0.0,0.47184756,0.4511206
20,167.3092873096466,0.46941814,0.44989976,0.0,0.0,0.46941814,0.44989976
21,175.05081129074097,0.46760198,0.4477941,0.0,0.0,0.46760198,0.4477941
22,182.8477885723114,0.4665889,0.44587067,0.0,0.0,0.4665889,0.44587067
23,191.17507767677307,0.46353835,0.4445808,0.0,0.0,0.46353835,0.4445808
24,199.45733332633972,0.46281636,0.44408563,0.0,0.0,0.46281636,0.44408563
25,207.36775660514832,0.4603928,0.44312564,0.0,0.0,0.4603928,0.44312564
26,215.7830228805542,0.45942533,0.4415089,0.0,0.0,0.45942533,0.4415089
27,223.64382076263428,0.45720857,0.44215176,0.0,0.0,0.45720857,0.44215176
28,231.4519431591034,0.46001393,0.44034466,0.0,0.0,0.46001393,0.44034466
29,239.83286595344543,0.45901924,0.43907377,0.0,0.0,0.45901924,0.43907377
30,248.29319739341736,0.45938724,0.43842375,0.0,0.0,0.45938724,0.43842375
31,256.1837258338928,0.45625746,0.437602,0.0,0.0,0.45625746,0.437602
32,264.6603972911835,0.4511746,0.43797597,0.0,0.0,0.4511746,0.43797597
33,273.0398066043854,0.4503047,0.43635544,0.0,0.0,0.4503047,0.43635544
34,281.49729919433594,0.45363057,0.43534634,0.0,0.0,0.45363057,0.43534634
