epoch,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss
0,9.144357919692993,0.70343137,0.6900747,0.0,0.0,0.70343137,0.6900747
1,17.741440773010254,0.6302935,0.62223625,0.0,0.0,0.6302935,0.62223625
2,26.58907413482666,0.564585,0.55106235,0.0,0.0,0.564585,0.55106235
3,35.08178400993347,0.5330906,0.5135308,0.0,0.0,0.5330906,0.5135308
4,43.76363182067871,0.5095669,0.49252018,0.0,0.0,0.5095669,0.49252018
5,52.47641396522522,0.50498956,0.48101488,0.0,0.0,0.50498956,0.48101488
6,61.11365866661072,0.4870594,0.47553515,0.0,0.0,0.4870594,0.47553515
7,70.08456063270569,0.48332304,0.47267982,0.0,0.0,0.48332304,0.47267982
8,78.89069485664368,0.48581174,0.46629953,0.0,0.0,0.48581174,0.46629953
9,87.7233395576477,0.47574985,0.4646312,0.0,0.0,0.47574985,0.4646312
10,96.5772316455841,0.47236577,0.46243584,0.0,0.0,0.47236577,0.46243584
11,105.34224820137024,0.47506696,0.45905703,0.0,0.0,0.47506696,0.45905703
12,114.06696319580078,0.47692606,0.45644358,0.0,0.0,0.47692606,0.45644358
13,122.96341562271118,0.47138688,0.4567851,0.0,0.0,0.47138688,0.4567851
14,131.81330394744873,0.47375378,0.45262033,0.0,0.0,0.47375378,0.45262033
15,140.66951298713684,0.46378076,0.4524824,0.0,0.0,0.46378076,0.4524824
16,149.59681701660156,0.45825028,0.4519036,0.0,0.0,0.45825028,0.4519036
17,158.3023648262024,0.46064448,0.446365,0.0,0.0,0.46064448,0.446365
18,167.18404078483582,0.45790747,0.44570592,0.0,0.0,0.45790747,0.44570592
19,176.0295386314392,0.45753533,0.44447827,0.0,0.0,0.45753533,0.44447827
20,184.78349590301514,0.457978,0.44046393,0.0,0.0,0.457978,0.44046393
21,193.3236448764801,0.4569681,0.43841115,0.0,0.0,0.4569681,0.43841115
22,202.16533160209656,0.4576349,0.439837,0.0,0.0,0.4576349,0.439837
23,210.85045671463013,0.451048,0.4354621,0.0,0.0,0.451048,0.4354621
