epoch,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss
0,7.241213321685791,0.70816517,0.699558,0.0,0.0,0.70816517,0.699558
1,14.70193076133728,0.65237457,0.6417695,0.0,0.0,0.65237457,0.6417695
2,22.497902393341064,0.5774265,0.5678213,0.0,0.0,0.5774265,0.5678213
3,30.378994464874268,0.5495299,0.5293294,0.0,0.0,0.5495299,0.5293294
4,37.90283679962158,0.51833177,0.50521404,0.0,0.0,0.51833177,0.50521404
5,45.886000633239746,0.50848925,0.4925996,0.0,0.0,0.50848925,0.4925996
6,53.682844400405884,0.504381,0.4841011,0.0,0.0,0.504381,0.4841011
7,61.6225643157959,0.49685657,0.47892296,0.0,0.0,0.49685657,0.47892296
8,69.12595653533936,0.49113247,0.47347555,0.0,0.0,0.49113247,0.47347555
9,77.16198992729187,0.4835826,0.47165856,0.0,0.0,0.4835826,0.47165856
10,84.74532556533813,0.48060775,0.4679015,0.0,0.0,0.48060775,0.4679015
11,92.73236560821533,0.47737175,0.46586314,0.0,0.0,0.47737175,0.46586314
12,100.64848041534424,0.4811105,0.46495387,0.0,0.0,0.4811105,0.46495387
13,108.26671814918518,0.47801915,0.4631463,0.0,0.0,0.47801915,0.4631463
14,115.75571870803833,0.47752452,0.46250647,0.0,0.0,0.47752452,0.46250647
15,123.72785353660583,0.47095224,0.45977047,0.0,0.0,0.47095224,0.45977047
16,131.60555219650269,0.46692163,0.45807105,0.0,0.0,0.46692163,0.45807105
17,139.63932013511658,0.4693033,0.4568239,0.0,0.0,0.4693033,0.4568239
18,147.57314324378967,0.46477836,0.45575634,0.0,0.0,0.46477836,0.45575634
19,155.55603432655334,0.4673675,0.45525625,0.0,0.0,0.4673675,0.45525625
20,163.11140847206116,0.46600273,0.45218402,0.0,0.0,0.46600273,0.45218402
21,170.6691505908966,0.4677713,0.4533516,0.0,0.0,0.4677713,0.4533516
22,178.13688445091248,0.4644806,0.45200148,0.0,0.0,0.4644806,0.45200148
23,186.13853526115417,0.4614011,0.44992644,0.0,0.0,0.4614011,0.44992644
24,194.06086015701294,0.46312934,0.45109582,0.0,0.0,0.46312934,0.45109582
25,202.1054072380066,0.4607096,0.4508093,0.0,0.0,0.4607096,0.4508093
26,210.0289328098297,0.45479876,0.4475504,0.0,0.0,0.45479876,0.4475504
27,217.72438859939575,0.45828602,0.4477246,0.0,0.0,0.45828602,0.4477246
28,225.68092799186707,0.45773855,0.44754544,0.0,0.0,0.45773855,0.44754544
29,233.66414308547974,0.4562223,0.4436655,0.0,0.0,0.4562223,0.4436655
30,241.33825945854187,0.4528861,0.44456118,0.0,0.0,0.4528861,0.44456118
31,249.30914974212646,0.45254558,0.4431642,0.0,0.0,0.45254558,0.4431642
32,257.00621938705444,0.44821265,0.44297665,0.0,0.0,0.44821265,0.44297665
33,264.96678161621094,0.4519315,0.44019306,0.0,0.0,0.4519315,0.44019306
34,272.66436862945557,0.45450372,0.44072568,0.0,0.0,0.45450372,0.44072568
35,280.7499120235443,0.45382616,0.43844885,0.0,0.0,0.45382616,0.43844885
36,288.7404670715332,0.4518564,0.43901333,0.0,0.0,0.4518564,0.43901333
37,296.4390525817871,0.44823933,0.4378577,0.0,0.0,0.44823933,0.4378577
38,304.2959237098694,0.4481291,0.4379168,0.0,0.0,0.4481291,0.4379168
39,312.2890214920044,0.44869342,0.43789154,0.0,0.0,0.44869342,0.43789154
40,320.231320142746,0.4510461,0.43770775,0.0,0.0,0.4510461,0.43770775
41,328.23464941978455,0.44735774,0.43626755,0.0,0.0,0.44735774,0.43626755
42,336.14333271980286,0.44923753,0.4366595,0.0,0.0,0.44923753,0.4366595
43,344.1198492050171,0.4446934,0.43323395,0.0,0.0,0.4446934,0.43323395
44,351.720908164978,0.44235912,0.43378416,0.0,0.0,0.44235912,0.43378416
45,359.27540850639343,0.44124794,0.43245476,0.0,0.0,0.44124794,0.43245476
46,366.7280457019806,0.44445366,0.4322988,0.0,0.0,0.44445366,0.4322988
47,374.7746202945709,0.44675958,0.43153626,0.0,0.0,0.44675958,0.43153626
48,382.7747256755829,0.44686705,0.42973825,0.0,0.0,0.44686705,0.42973825
49,390.66329312324524,0.43636802,0.43063313,0.0,0.0,0.43636802,0.43063313
50,398.337158203125,0.43766835,0.42924184,0.0,0.0,0.43766835,0.42924184
51,406.25319480895996,0.44029164,0.42994526,0.0,0.0,0.44029164,0.42994526
52,414.2855234146118,0.4353703,0.42920747,0.0,0.0,0.4353703,0.42920747
53,422.2631735801697,0.4423073,0.42705026,0.0,0.0,0.4423073,0.42705026
54,430.20250844955444,0.44034973,0.42949417,0.0,0.0,0.44034973,0.42949417
55,437.78110098838806,0.44077945,0.42627016,0.0,0.0,0.44077945,0.42627016
56,445.2244212627411,0.44049895,0.42901367,0.0,0.0,0.44049895,0.42901367
57,452.7291808128357,0.4368208,0.42569342,0.0,0.0,0.4368208,0.42569342
58,460.314071893692,0.43483284,0.42555934,0.0,0.0,0.43483284,0.42555934
59,468.3093202114105,0.4383176,0.426974,0.0,0.0,0.4383176,0.426974
60,476.39993834495544,0.43455574,0.42423597,0.0,0.0,0.43455574,0.42423597
61,484.2647078037262,0.43008074,0.4245802,0.0,0.0,0.43008074,0.4245802
62,495.168564081192,0.43358272,0.423989,0.0,0.0,0.43358272,0.423989
63,502.67041659355164,0.43404448,0.42444316,0.0,0.0,0.43404448,0.42444316
64,510.6722466945648,0.42826146,0.421034,0.0,0.0,0.42826146,0.421034
65,518.256716966629,0.42723027,0.4213911,0.0,0.0,0.42723027,0.4213911
