epoch,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss
0,7.6889636516571045,0.69153535,0.68049717,0.0,0.0,0.69153535,0.68049717
1,15.765447616577148,0.6274428,0.6157907,0.0,0.0,0.6274428,0.6157907
2,24.2245934009552,0.5555569,0.54165137,0.0,0.0,0.5555569,0.54165137
3,32.13729000091553,0.51948893,0.5037919,0.0,0.0,0.51948893,0.5037919
4,40.08810544013977,0.50291675,0.48165348,0.0,0.0,0.50291675,0.48165348
5,48.27673602104187,0.48467812,0.4725702,0.0,0.0,0.48467812,0.4725702
6,56.74871015548706,0.4801212,0.46576455,0.0,0.0,0.4801212,0.46576455
7,64.99611496925354,0.4757581,0.46131137,0.0,0.0,0.4757581,0.46131137
8,72.61010646820068,0.47101521,0.45900476,0.0,0.0,0.47101521,0.45900476
9,80.2368528842926,0.46955702,0.45655763,0.0,0.0,0.46955702,0.45655763
10,88.25437998771667,0.46398866,0.45470646,0.0,0.0,0.46398866,0.45470646
11,96.30310654640198,0.46192852,0.45257342,0.0,0.0,0.46192852,0.45257342
12,104.1842679977417,0.46142054,0.44995397,0.0,0.0,0.46142054,0.44995397
13,112.44113230705261,0.4590179,0.44823483,0.0,0.0,0.4590179,0.44823483
14,120.60880994796753,0.45247945,0.4451678,0.0,0.0,0.45247945,0.4451678
15,128.6156084537506,0.45514703,0.44555113,0.0,0.0,0.45514703,0.44555113
16,136.62949466705322,0.45420632,0.44383302,0.0,0.0,0.45420632,0.44383302
17,145.04464054107666,0.45302573,0.44252568,0.0,0.0,0.45302573,0.44252568
18,153.2367763519287,0.45403528,0.44179517,0.0,0.0,0.45403528,0.44179517
19,161.50311255455017,0.45125994,0.43945682,0.0,0.0,0.45125994,0.43945682
20,169.2241072654724,0.44758716,0.4378253,0.0,0.0,0.44758716,0.4378253
21,177.14976119995117,0.4427004,0.43750963,0.0,0.0,0.4427004,0.43750963
22,185.12318420410156,0.4446028,0.43509558,0.0,0.0,0.4446028,0.43509558
23,192.86631178855896,0.4467088,0.43380475,0.0,0.0,0.4467088,0.43380475
24,201.12670755386353,0.44273138,0.4368125,0.0,0.0,0.44273138,0.4368125
25,209.23940086364746,0.44349083,0.43342724,0.0,0.0,0.44349083,0.43342724
26,217.47549057006836,0.43398115,0.43294773,0.0,0.0,0.43398115,0.43294773
27,225.33578372001648,0.43812284,0.43132225,0.0,0.0,0.43812284,0.43132225
28,233.16771960258484,0.4364406,0.4299383,0.0,0.0,0.4364406,0.4299383
29,241.60298347473145,0.43731734,0.42926157,0.0,0.0,0.43731734,0.42926157
30,249.85762119293213,0.43973738,0.42747948,0.0,0.0,0.43973738,0.42747948
31,257.9395823478699,0.43718314,0.42739382,0.0,0.0,0.43718314,0.42739382
32,266.3494255542755,0.43951395,0.42582434,0.0,0.0,0.43951395,0.42582434
33,274.12729573249817,0.4431974,0.42595866,0.0,0.0,0.4431974,0.42595866
34,281.6912531852722,0.43142784,0.42448688,0.0,0.0,0.43142784,0.42448688
35,289.83556270599365,0.44135317,0.42253044,0.0,0.0,0.44135317,0.42253044
36,297.44909477233887,0.43177098,0.4219962,0.0,0.0,0.43177098,0.4219962
37,305.31814980506897,0.43737528,0.42057478,0.0,0.0,0.43737528,0.42057478
38,312.8639717102051,0.43632314,0.42149317,0.0,0.0,0.43632314,0.42149317
39,320.81368374824524,0.42539412,0.4191491,0.0,0.0,0.42539412,0.4191491
40,328.88192915916443,0.42697966,0.41708732,0.0,0.0,0.42697966,0.41708732
41,336.89942598342896,0.42583132,0.41728526,0.0,0.0,0.42583132,0.41728526
42,345.11328864097595,0.42717147,0.41521373,0.0,0.0,0.42717147,0.41521373
43,353.4188494682312,0.42638087,0.41547248,0.0,0.0,0.42638087,0.41547248
44,361.61233472824097,0.424408,0.41730595,0.0,0.0,0.424408,0.41730595
45,370.0371482372284,0.42597443,0.4165255,0.0,0.0,0.42597443,0.4165255
46,378.5411550998688,0.4234446,0.4127524,0.0,0.0,0.4234446,0.4127524
47,386.4558479785919,0.42276606,0.4136829,0.0,0.0,0.42276606,0.4136829
48,394.13118863105774,0.42498237,0.41437054,0.0,0.0,0.42498237,0.41437054
49,401.9112949371338,0.42582014,0.41522065,0.0,0.0,0.42582014,0.41522065
50,410.24472975730896,0.41981345,0.41258296,0.0,0.0,0.41981345,0.41258296
51,418.287086725235,0.42420202,0.4107484,0.0,0.0,0.42420202,0.4107484
52,426.103497505188,0.42245233,0.4101077,0.0,0.0,0.42245233,0.4101077
53,434.55876183509827,0.42434,0.41073954,0.0,0.0,0.42434,0.41073954
54,442.3245904445648,0.41806027,0.41043475,0.0,0.0,0.41806027,0.41043475
55,450.0568277835846,0.42144516,0.41006753,0.0,0.0,0.42144516,0.41006753
56,457.7336483001709,0.42026004,0.40775034,0.0,0.0,0.42026004,0.40775034
57,465.40760493278503,0.41525447,0.407924,0.0,0.0,0.41525447,0.407924
58,473.59648728370667,0.4211551,0.40757892,0.0,0.0,0.4211551,0.40757892
59,482.0158417224884,0.4180445,0.40655786,0.0,0.0,0.4180445,0.40655786
60,490.3752691745758,0.41423553,0.40573725,0.0,0.0,0.41423553,0.40573725
61,498.2356197834015,0.4143656,0.40643004,0.0,0.0,0.4143656,0.40643004
62,506.2338809967041,0.41401422,0.40464687,0.0,0.0,0.41401422,0.40464687
63,513.9391796588898,0.42045265,0.40506673,0.0,0.0,0.42045265,0.40506673
64,521.67058801651,0.41279414,0.4049782,0.0,0.0,0.41279414,0.4049782
65,529.3551144599915,0.41761053,0.4041726,0.0,0.0,0.41761053,0.4041726
66,537.2302713394165,0.42372924,0.40376383,0.0,0.0,0.42372924,0.40376383
67,545.5345554351807,0.41305625,0.40312597,0.0,0.0,0.41305625,0.40312597
68,553.9346549510956,0.4152218,0.40131852,0.0,0.0,0.4152218,0.40131852
69,562.0471620559692,0.4154716,0.40244582,0.0,0.0,0.4154716,0.40244582
70,569.8176102638245,0.4124207,0.40121296,0.0,0.0,0.4124207,0.40121296
71,578.1927151679993,0.41449848,0.4005119,0.0,0.0,0.41449848,0.4005119
72,585.9262959957123,0.4200083,0.40095696,0.0,0.0,0.4200083,0.40095696
73,593.7146105766296,0.4141323,0.39916658,0.0,0.0,0.4141323,0.39916658
74,601.889725446701,0.4106137,0.39958286,0.0,0.0,0.4106137,0.39958286
75,610.1462996006012,0.41097385,0.39892662,0.0,0.0,0.41097385,0.39892662
76,618.324286699295,0.40386307,0.40002766,0.0,0.0,0.40386307,0.40002766
