epoch,elapsed_time,training_nn_loss,validation_nn_loss,training_p_loss,validation_p_loss,training_loss,validation_loss
0,8.610177516937256,0.70137113,0.68836325,0.0,0.0,0.70137113,0.68836325
1,17.129380226135254,0.6433074,0.6257397,0.0,0.0,0.6433074,0.6257397
2,25.684149026870728,0.56907177,0.5559375,0.0,0.0,0.56907177,0.5559375
3,34.07065033912659,0.5383507,0.5202921,0.0,0.0,0.5383507,0.5202921
4,42.635231256484985,0.5178175,0.4977777,0.0,0.0,0.5178175,0.4977777
5,51.46577453613281,0.5055567,0.48724785,0.0,0.0,0.5055567,0.48724785
6,59.88345742225647,0.4938542,0.48246723,0.0,0.0,0.4938542,0.48246723
7,68.23762273788452,0.49196175,0.47663537,0.0,0.0,0.49196175,0.47663537
8,76.5682487487793,0.48707506,0.47232473,0.0,0.0,0.48707506,0.47232473
9,85.09936690330505,0.48836073,0.469729,0.0,0.0,0.48836073,0.469729
10,93.7036600112915,0.4898162,0.46607226,0.0,0.0,0.4898162,0.46607226
11,102.52828907966614,0.47585347,0.46642423,0.0,0.0,0.47585347,0.46642423
12,110.93874216079712,0.47791266,0.4621809,0.0,0.0,0.47791266,0.4621809
13,119.56270170211792,0.47694132,0.4618518,0.0,0.0,0.47694132,0.4618518
14,127.94801211357117,0.47689545,0.45936537,0.0,0.0,0.47689545,0.45936537
15,136.42214035987854,0.477281,0.45762125,0.0,0.0,0.477281,0.45762125
16,144.81042551994324,0.46447015,0.45695615,0.0,0.0,0.46447015,0.45695615
17,153.54175519943237,0.4682415,0.45457458,0.0,0.0,0.4682415,0.45457458
18,161.95685696601868,0.46728188,0.45394552,0.0,0.0,0.46728188,0.45394552
19,170.31220769882202,0.46260795,0.45122504,0.0,0.0,0.46260795,0.45122504
20,178.82149505615234,0.46366808,0.4505318,0.0,0.0,0.46366808,0.4505318
21,187.6207573413849,0.45998588,0.44952184,0.0,0.0,0.45998588,0.44952184
22,196.21930813789368,0.46300393,0.44838768,0.0,0.0,0.46300393,0.44838768
23,204.60769128799438,0.46074286,0.44890285,0.0,0.0,0.46074286,0.44890285
24,213.04062461853027,0.46084484,0.44672436,0.0,0.0,0.46084484,0.44672436
25,221.6430470943451,0.45915282,0.44779542,0.0,0.0,0.45915282,0.44779542
26,230.13922429084778,0.45688686,0.44241992,0.0,0.0,0.45688686,0.44241992
27,238.92165184020996,0.45870516,0.44291183,0.0,0.0,0.45870516,0.44291183
28,247.61967277526855,0.4504064,0.440972,0.0,0.0,0.4504064,0.440972
29,256.3700387477875,0.45595297,0.43812332,0.0,0.0,0.45595297,0.43812332
30,264.7735686302185,0.44778937,0.4372415,0.0,0.0,0.44778937,0.4372415
31,273.1232485771179,0.44735292,0.43520692,0.0,0.0,0.44735292,0.43520692
32,281.4227042198181,0.44186854,0.43505472,0.0,0.0,0.44186854,0.43505472
33,290.08358883857727,0.44456157,0.43575916,0.0,0.0,0.44456157,0.43575916
34,298.7566542625427,0.44628787,0.43278918,0.0,0.0,0.44628787,0.43278918
35,307.1331133842468,0.4525759,0.4312404,0.0,0.0,0.4525759,0.4312404
36,315.6688117980957,0.44492275,0.43050972,0.0,0.0,0.44492275,0.43050972
37,324.2040801048279,0.44283935,0.4305628,0.0,0.0,0.44283935,0.4305628
38,332.6413540840149,0.44485947,0.43034357,0.0,0.0,0.44485947,0.43034357
39,341.0948178768158,0.43701658,0.43200773,0.0,0.0,0.43701658,0.43200773
40,349.55612874031067,0.444195,0.43042514,0.0,0.0,0.444195,0.43042514
41,358.1597146987915,0.44375375,0.42877445,0.0,0.0,0.44375375,0.42877445
42,366.4995393753052,0.43937972,0.4264772,0.0,0.0,0.43937972,0.4264772
43,375.1910879611969,0.43336585,0.4263236,0.0,0.0,0.43336585,0.4263236
44,383.6976041793823,0.4388706,0.4264109,0.0,0.0,0.4388706,0.4264109
45,392.1736192703247,0.439441,0.42565626,0.0,0.0,0.439441,0.42565626
46,400.8654201030731,0.43706298,0.42245516,0.0,0.0,0.43706298,0.42245516
47,409.6110317707062,0.43812913,0.42240736,0.0,0.0,0.43812913,0.42240736
48,418.2890865802765,0.44242078,0.42101812,0.0,0.0,0.44242078,0.42101812
49,426.9135706424713,0.43308547,0.42196822,0.0,0.0,0.43308547,0.42196822
50,435.4238815307617,0.4358418,0.42191023,0.0,0.0,0.4358418,0.42191023
51,444.14214396476746,0.434169,0.42225343,0.0,0.0,0.434169,0.42225343
52,452.52742981910706,0.4292462,0.41920066,0.0,0.0,0.4292462,0.41920066
53,460.838077545166,0.43070567,0.41902402,0.0,0.0,0.43070567,0.41902402
54,469.1768922805786,0.42722228,0.41835734,0.0,0.0,0.42722228,0.41835734
55,478.0190920829773,0.4283769,0.41943812,0.0,0.0,0.4283769,0.41943812
56,486.6752088069916,0.43450463,0.41742185,0.0,0.0,0.43450463,0.41742185
57,495.02632117271423,0.42986163,0.4182473,0.0,0.0,0.42986163,0.4182473
58,503.5651354789734,0.4319429,0.41670275,0.0,0.0,0.4319429,0.41670275
59,512.304365158081,0.42971015,0.41531667,0.0,0.0,0.42971015,0.41531667
60,520.916487455368,0.43213233,0.4157252,0.0,0.0,0.43213233,0.4157252
61,529.5197758674622,0.43113405,0.41558847,0.0,0.0,0.43113405,0.41558847
62,538.2660853862762,0.43239442,0.41363832,0.0,0.0,0.43239442,0.41363832
63,546.6437344551086,0.42840347,0.4126528,0.0,0.0,0.42840347,0.4126528
64,555.2054691314697,0.42723647,0.41396546,0.0,0.0,0.42723647,0.41396546
65,563.7293376922607,0.42405415,0.41463766,0.0,0.0,0.42405415,0.41463766
66,572.2837529182434,0.4292735,0.41166878,0.0,0.0,0.4292735,0.41166878
