var,units,final_dtype,scale_factor,min,max,spatial_interp,elevation_correct,temporal_interp,merra_dset,merra_name,data_source,source_directory,row_chunks,col_chunks,description,notes
cloud_type,"'N/A': -15, 'Clear': 0, 'Probably Clear': 1, 'Fog': 2, 'Water': 3, 'Super-Cooled Water': 4, 'Mixed': 5, 'Opaque Ice': 6, 'Cirrus': 7, 'Overlapping': 8, 'Overshooting': 9, 'Unknown': 10, 'Dust': 11, 'Smoke': 12",int8,1,-15,12,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,1000,Cloud type (see units),
cld_opd_dcomp,unitless,uint16,100,0,80,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,500,Cloud optical depth where a greater number is opaque,
cld_press_acha,hPa,uint16,1,0,1100,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,500,Cloud top pressure,
cloud_press_acha,hPa,uint16,1,0,1100,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,500,Cloud top pressure,
cld_reff_dcomp,micron,uint16,100,0,80,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,500,Effective radius of cloud particles in microns,
snow_class,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,Categorical snow class (no snow=1 sea ice=2 snow=3),
surface_type,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,UMD categorical surface type (water=0 evergreen_needle=1 evergreen_broad=2 deciduous_needle=3 deciduous_broad=4 mixed_forest=5 woodlands=6 wooded_grass=7closed_shrubs=8 open_shrubs=9 grasses=10 croplands=11 bare=12 urban=13),
cloud_mask,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,Integer cloud classification (clear=0 probably-clear=1 probably-cloudy=2 cloudy=3),
cloud_phase,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,integer classification of the cloud phase including clear and aerosol type (0=clear 1=water 2=supercooled water 3=mixed 4=ice 5=unknown),
cloud_type,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,Cloud type (see units),
cloud_fraction,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,Cloud fraction,
cloud_probability,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,Baysian cloud probability,
cloud_albedo_0_65um_nom,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,cloud albedo at 0.65 microns (approx. red visible light),
cloud_transmission_0_65um_nom,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,cloud transmission at 0.65 microns (approx. red visible light),
cld_temp_acha,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,cloud-top temperature in Kelvin,
cld_emiss_acha,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,cloud emissivity at the nominal wavelength of 11 microns (infrared),
cld_beta_acha,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,cloud 11/12 micron beta value ,
cld_opd_dcomp_qf,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,quality flag from DCOMP: not attempted=0 failed=1 low quality=2 high quality=3,
cld_reff_dcomp_qf,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,quality flag from DCOMP: not attempted=0 failed=1 low quality=2 high quality=3,
dcomp_quality,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,quality flags for DCOMP products see documentation http://cimss.ssec.wisc.edu/clavr/ 1:Processed (0=no 1=yes) 2:valid COD retrieval (0=yes 1=no) 3:valid REF retrieval (0=yes 1=no) 4:degraded COD retrieval (0=no 1=degraded) 5:degraded REF retrieval (0=no 1=degraded) 6:convergency (0=no 1=yes) 7:glint,
temp_3_75um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere brightness temperature at the nominal wavelength of 3.75 microns (infrared),
temp_6_7um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere brightness temperature at the nominal wavelength of 6.7 microns (infrared),
temp_7_3um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere brightness temperature at the nominal wavelength of 7.3 microns (infrared),only_in_g16
temp_8_5um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere brightness temperature at the nominal wavelength of 8.5 microns (infrared),only_in_g16
temp_9_7um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere brightness temperature at the nominal wavelength of 9.7 microns (infrared),only_in_g16
temp_11_0um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere brightness temperature at the nominal wavelength of 11 microns (infrared),
temp_11_0um_nom_stddev_3x3 ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,standard deviation calculated over 3x3 pixels of top of atmosphere brightness temperature at the nominal wavelength of 11 microns (infrared),
temp_12_0um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere brightness temperature at the nominal wavelength of 12 microns (infrared),only_in_g16
temp_13_3um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere brightness temperature at the nominal wavelength of 13 microns (infrared),
refl_0_47um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere reflectance at the nominal wavelength of 0.47 microns (visible blue light),only_in_g16
refl_0_65um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere reflectance at the nominal wavelength of 0.65 microns (visible red light),
refl_0_65um_nom_min_sub ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,,
refl_0_65um_nom_max_sub ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,,
refl_0_65um_nom_stddev_3x3 ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,standard deviation calculated over 3x3 pixels of top of atmosphere reflectance at the nominal wavelength of 0.65 microns (visible red light),
refl_0_86um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere reflectance at the nominal wavelength of 0.86 microns (infrared),only_in_g16
refl_1_38um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere reflectance at the nominal wavelength of 1.38 microns (infrared),only_in_g16
refl_1_60um_nom ,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere reflectance at the nominal wavelength of 1.60 microns (infrared),only_in_g16
refl_3_75um_nom,,float32,1,,,,,,,,UW-GOES,/projects/pxs/uwisc/2018_conus/clavrx_OR_ABI-L1b-RadC*.level2.nc,2000,250,top of atmosphere reflectance at the nominal wavelength of 3.75 microns (infrared),
