epoch,elapsed_time,training_loss,training_nn_loss,training_p_loss,validation_loss,validation_nn_loss,validation_p_loss
0,7.728212118148804,0.7168077,0.7168077,0.0,0.55883133,0.55883133,0.0
1,15.052536010742188,0.541834,0.541834,0.0,0.48325956,0.48325956,0.0
2,22.355146884918213,0.49591243,0.49591243,0.0,0.46497014,0.46497014,0.0
3,29.551120042800903,0.47942036,0.47942036,0.0,0.45688504,0.45688504,0.0
4,36.74922704696655,0.4692838,0.4692838,0.0,0.4485772,0.4485772,0.0
5,43.96614980697632,0.4618591,0.4618591,0.0,0.4440496,0.4440496,0.0
6,51.24943828582764,0.45581836,0.45581836,0.0,0.44028074,0.44028074,0.0
7,58.45111608505249,0.452053,0.452053,0.0,0.43691272,0.43691272,0.0
8,65.6146011352539,0.44840753,0.44840753,0.0,0.43286932,0.43286932,0.0
9,72.74858045578003,0.44529885,0.44529885,0.0,0.43175977,0.43175977,0.0
10,79.88711810112,0.44338065,0.44338065,0.0,0.42862797,0.42862797,0.0
11,87.17828297615051,0.4411237,0.4411237,0.0,0.42501694,0.42501694,0.0
12,94.42078971862793,0.43870866,0.43870866,0.0,0.42797107,0.42797107,0.0
13,101.65136408805847,0.43767738,0.43767738,0.0,0.42740732,0.42740732,0.0
14,108.74637269973755,0.43658638,0.43658638,0.0,0.42453527,0.42453527,0.0
15,116.0087149143219,0.43492088,0.43492088,0.0,0.42281076,0.42281076,0.0
16,123.18838047981262,0.43387902,0.43387902,0.0,0.4191485,0.4191485,0.0
17,130.41592955589294,0.43201706,0.43201706,0.0,0.4198053,0.4198053,0.0
18,137.5848627090454,0.4315526,0.4315526,0.0,0.42105705,0.42105705,0.0
19,144.7462339401245,0.4304376,0.4304376,0.0,0.41669172,0.41669172,0.0
20,151.93542456626892,0.4290092,0.4290092,0.0,0.41673246,0.41673246,0.0
21,159.20013332366943,0.4286629,0.4286629,0.0,0.4169773,0.4169773,0.0
22,166.39386677742004,0.4278645,0.4278645,0.0,0.4166407,0.4166407,0.0
23,173.69055342674255,0.4267251,0.4267251,0.0,0.41538545,0.41538545,0.0
24,180.88727116584778,0.4264564,0.4264564,0.0,0.41778967,0.41778967,0.0
25,188.09427523612976,0.4250398,0.4250398,0.0,0.41293466,0.41293466,0.0
26,195.28528904914856,0.42472583,0.42472583,0.0,0.41258803,0.41258803,0.0
27,202.4679753780365,0.42371494,0.42371494,0.0,0.41632268,0.41632268,0.0
28,209.67990398406982,0.42331213,0.42331213,0.0,0.41306928,0.41306928,0.0
29,216.85040163993835,0.42220253,0.42220253,0.0,0.4119892,0.4119892,0.0
30,224.16884446144104,0.42176133,0.42176133,0.0,0.4095656,0.4095656,0.0
31,231.32567310333252,0.42085794,0.42085794,0.0,0.4102231,0.4102231,0.0
32,238.53858280181885,0.41993648,0.41993648,0.0,0.4081833,0.4081833,0.0
33,245.67833733558655,0.41977012,0.41977012,0.0,0.40927035,0.40927035,0.0
34,252.69513034820557,0.418814,0.418814,0.0,0.40836924,0.40836924,0.0
35,259.8801920413971,0.41846317,0.41846317,0.0,0.4084428,0.4084428,0.0
36,267.0090308189392,0.41762745,0.41762745,0.0,0.40809,0.40809,0.0
37,274.259756565094,0.41735768,0.41735768,0.0,0.40697402,0.40697402,0.0
38,281.48348593711853,0.41709733,0.41709733,0.0,0.40521115,0.40521115,0.0
39,288.7213325500488,0.4163487,0.4163487,0.0,0.40853086,0.40853086,0.0
40,295.9877669811249,0.41498697,0.41498697,0.0,0.4058622,0.4058622,0.0
41,303.17547369003296,0.41425318,0.41425318,0.0,0.4052372,0.4052372,0.0
42,310.51854276657104,0.4141127,0.4141127,0.0,0.40913206,0.40913206,0.0
43,317.7343828678131,0.4138118,0.4138118,0.0,0.40657464,0.40657464,0.0
44,325.13584423065186,0.4131348,0.4131348,0.0,0.4050241,0.4050241,0.0
45,332.27492785453796,0.41241837,0.41241837,0.0,0.40483654,0.40483654,0.0
46,339.80663681030273,0.41285014,0.41285014,0.0,0.40419903,0.40419903,0.0
47,347.0045988559723,0.41190836,0.41190836,0.0,0.40281886,0.40281886,0.0
48,354.3501389026642,0.41123524,0.41123524,0.0,0.40265715,0.40265715,0.0
49,361.6309905052185,0.41079333,0.41079333,0.0,0.40325558,0.40325558,0.0
50,368.7306933403015,0.41001707,0.41001707,0.0,0.4003054,0.4003054,0.0
51,376.0609052181244,0.40977442,0.40977442,0.0,0.4029364,0.4029364,0.0
52,383.20902371406555,0.40878102,0.40878102,0.0,0.40247297,0.40247297,0.0
53,390.39782786369324,0.40832746,0.40832746,0.0,0.40057886,0.40057886,0.0
54,397.5371265411377,0.40794274,0.40794274,0.0,0.39988452,0.39988452,0.0
55,404.74767994880676,0.40762866,0.40762866,0.0,0.4023865,0.4023865,0.0
56,411.9942948818207,0.4073819,0.4073819,0.0,0.40178597,0.40178597,0.0
57,419.1713035106659,0.4069532,0.4069532,0.0,0.39746314,0.39746314,0.0
58,426.5954315662384,0.40612987,0.40612987,0.0,0.39750826,0.39750826,0.0
59,433.8957133293152,0.40550083,0.40550083,0.0,0.3990056,0.3990056,0.0
60,441.2222776412964,0.40571025,0.40571025,0.0,0.39718986,0.39718986,0.0
61,448.6376826763153,0.4048165,0.4048165,0.0,0.39779827,0.39779827,0.0
62,455.81833577156067,0.40442413,0.40442413,0.0,0.39682657,0.39682657,0.0
63,463.1762704849243,0.40467238,0.40467238,0.0,0.3966548,0.3966548,0.0
64,470.754842042923,0.40386805,0.40386805,0.0,0.39514157,0.39514157,0.0
65,478.1141550540924,0.40338576,0.40338576,0.0,0.39610934,0.39610934,0.0
66,485.38832116127014,0.40365037,0.40365037,0.0,0.39586377,0.39586377,0.0
67,492.6059408187866,0.4020782,0.4020782,0.0,0.39519918,0.39519918,0.0
68,499.9270918369293,0.40291476,0.40291476,0.0,0.39408702,0.39408702,0.0
69,507.08535289764404,0.4018773,0.4018773,0.0,0.39572346,0.39572346,0.0
70,514.4947645664215,0.40135753,0.40135753,0.0,0.3939852,0.3939852,0.0
71,521.5072846412659,0.4012903,0.4012903,0.0,0.3934782,0.3934782,0.0
72,528.4410619735718,0.40075195,0.40075195,0.0,0.39367267,0.39367267,0.0
73,535.3942868709564,0.40001568,0.40001568,0.0,0.39310604,0.39310604,0.0
74,542.3236539363861,0.4004159,0.4004159,0.0,0.39452752,0.39452752,0.0
75,549.283896446228,0.3992828,0.3992828,0.0,0.3932547,0.3932547,0.0
